latent_cpu_df_0,latent_cpu_df_1,latent_cpu_df_2,latent_cpu_df_3,latent_cpu_df_4,latent_cpu_df_5,latent_cpu_df_6,latent_cpu_df_7,latent_cpu_df_8,latent_cpu_df_9,latent_cpu_df_10,latent_cpu_df_11,latent_cpu_df_12,latent_cpu_df_13,latent_cpu_df_14,latent_cpu_df_15,latent_cpu_df_16,latent_cpu_df_17,latent_cpu_df_18,latent_cpu_df_19,latent_cpu_df_20,latent_cpu_df_21,latent_cpu_df_22,latent_cpu_df_23,latent_cpu_df_24,latent_cpu_df_25,latent_cpu_df_26,latent_cpu_df_27,latent_cpu_df_28,latent_cpu_df_29,latent_cpu_df_30,latent_cpu_df_31,latent_cpu_df_32,latent_cpu_df_33,latent_cpu_df_34,latent_cpu_df_35,latent_cpu_df_36,latent_cpu_df_37,latent_cpu_df_38,latent_cpu_df_39,latent_cpu_df_40,latent_cpu_df_41,latent_cpu_df_42,latent_cpu_df_43,latent_cpu_df_44,latent_cpu_df_45,latent_cpu_df_46,latent_cpu_df_47,latent_cpu_df_48,latent_cpu_df_49,latent_cpu_df_50,latent_cpu_df_51,latent_cpu_df_52,latent_cpu_df_53,latent_cpu_df_54,latent_cpu_df_55,latent_cpu_df_56,latent_cpu_df_57,latent_cpu_df_58,latent_cpu_df_59,latent_cpu_df_60,latent_cpu_df_61,latent_cpu_df_62,latent_cpu_df_63
0.0,0.45854017,0.6438357,0.0,0.795676,0.239645,0.5969045,0.0,0.0011335909,0.14037375,0.9680998,0.0,0.09906678,0.18341374,0.5588845,0.2450763,0.14093877,0.1039594,0.27943012,0.700001,0.7938845,0.7708047,0.82053465,0.0,0.571625,0.55224437,0.81840676,0.652734,0.48857045,0.23015848,0.4937887,0.32641238,0.0,0.30706194,0.13090841,0.06945057,0.56204724,0.0,0.38016707,0.254936,0.011260048,0.37572777,0.467611,0.00018849969,0.24248348,0.28197426,0.0,0.45774972,0.0,0.0,0.76196706,0.0,0.8388279,0.45310608,0.21998644,0.2208171,0.27811098,0.0,0.2916417,0.6685533,0.8200899,0.3207326,1.1143909,0.0
0.0,0.37056667,0.38671887,0.0,0.9626907,0.12912217,0.30281693,0.0,0.29992187,0.19126336,0.8634955,0.034807026,0.20022933,0.37516695,0.30950963,0.26115626,0.4118297,0.14751346,0.21395569,0.44243407,1.2674648,0.68464035,0.6785671,0.0,0.6545548,0.71558046,1.0533613,0.41253644,0.29244927,0.4249823,0.42489374,0.59898496,0.15776877,0.19830108,0.2395037,0.1759104,0.50530475,0.0,0.20313771,0.06231759,0.0,0.20610873,0.58435524,0.059091993,0.46962512,0.45641512,0.0,0.24422966,0.0,0.0,0.833251,0.0,0.76878196,0.40852684,0.11406313,0.35249344,0.18987837,0.0,0.2982641,0.7556549,0.83601266,0.37455046,0.67185324,0.0
0.2372731,0.50121814,0.8030232,0.0,0.4773425,0.3229065,0.28540608,0.0,0.0,0.19867189,0.596636,0.0,0.03442404,0.5006166,0.3341511,0.7469651,0.0,0.17161,0.14999756,0.50563633,0.34055007,1.2416966,0.43951035,0.0,0.90322447,0.9448378,0.71323305,0.59908473,0.5561947,0.24698222,1.0468329,0.3761153,0.0,0.31148952,0.34140643,0.13871665,0.5424669,0.0,0.48723683,0.30293193,0.22723109,0.29995728,0.28062433,0.019848049,0.7816168,0.8866905,0.0,0.6730781,0.042156197,0.24586439,0.17037222,0.0,0.63148695,0.4428304,0.67969936,0.027471127,0.37835222,0.0,0.0,0.65305346,0.5322385,0.49666518,0.824888,0.0
0.2005319,0.4118835,0.5479766,0.0,0.6461153,0.21186936,0.0,0.0,0.18512914,0.2488919,0.49057776,0.0,0.13551168,0.6922826,0.08395204,0.7639657,0.16763332,0.21618693,0.086837724,0.24834868,0.8139784,1.1543503,0.2985255,0.0,0.9854698,1.107602,0.94962335,0.3589999,0.3607384,0.44066018,0.9764438,0.6467896,0.058425248,0.20338392,0.4512285,0.24656548,0.4849929,0.0,0.31011474,0.11101928,0.20024163,0.13149402,0.39724815,0.08032615,1.0091954,1.0620081,0.0,0.46045277,0.06402197,0.23399267,0.24201739,0.0,0.56139195,0.39682832,0.57230425,0.15778136,0.29091173,0.0,0.0,0.7377048,0.54628074,0.5505265,0.38468757,0.0
0.0,0.4293309,0.7397637,0.0,0.6740322,0.23612157,0.5141973,0.10379446,0.03938943,0.15806104,0.9333075,0.04325352,0.13826525,0.16725181,0.50231797,0.30569935,0.0,0.1287992,0.21917303,0.7309329,0.75792813,0.89309454,0.72562796,0.0,0.49848065,0.5877545,0.914098,0.6326406,0.49825674,0.1849115,0.40111428,0.27653402,0.08174577,0.30402815,0.05016689,0.114984915,0.5581868,0.0,0.2587213,0.394638,0.12551816,0.3187517,0.41766804,0.14428762,0.2598061,0.2825849,0.0,0.53595525,0.09970009,0.0,0.7810423,0.0,0.86535746,0.33442804,0.3242049,0.1441995,0.20381986,0.0,0.3547493,0.6383544,0.69630843,0.34063062,1.0963032,0.116423465
0.0,0.3277781,0.7788934,0.079231694,0.76121306,0.27148226,0.32380724,0.06012196,0.16984193,0.27155942,0.7512288,0.18836,0.2716619,0.50851375,0.1001524,0.36354434,0.11457898,0.13369167,0.03805749,0.7157964,0.6695178,0.78595424,0.57545274,0.0,0.4858631,0.41069064,0.9155881,0.45272088,0.31265467,0.47839594,0.49769318,0.4145382,0.10115076,0.12679312,0.16149808,0.3257869,0.81436753,0.0,0.19309667,0.20780928,0.38948393,0.05473704,0.69126165,0.1956416,0.11900924,0.16588584,0.0,0.5009596,0.2817531,0.058961976,1.0976505,0.0,1.0364757,0.2603233,0.16683817,0.17823954,0.34236395,0.0,0.25229222,0.7173475,0.7685612,0.25807482,0.6075508,0.18913218
0.0,0.35026518,0.6666412,0.18262067,0.69870925,0.58347386,0.4261384,0.16269164,0.39584154,0.16571797,0.8514962,0.14544863,0.17468803,0.22139104,0.35234815,0.33649725,0.2815689,0.21780734,0.1385074,0.57883096,1.1382686,0.77630633,0.56118876,0.0,0.62446874,0.4265975,1.1771699,0.12540466,0.5645311,0.0603489,0.40770194,0.2775964,0.20607749,0.08993798,0.292804,0.19928636,0.60381615,0.0,0.47243142,0.16556716,0.34522793,0.14998041,0.6152762,0.120522454,0.22734675,0.27618825,0.0,0.38799727,0.07215466,0.024538029,0.8296213,0.0,0.93350476,0.18962124,0.4464646,0.30193263,0.38391632,0.0,0.40616828,0.7414467,0.76335496,0.23852354,0.73881274,0.0
0.1978256,0.57442087,0.76956123,0.0,0.44693506,0.42525244,0.2800891,0.0,0.0,0.25881457,0.4888534,0.0,0.12534203,0.44608235,0.40092498,0.7270847,0.0,0.24738431,0.2854811,0.57113016,0.4282512,1.2059445,0.521446,0.0,0.9331559,0.95576346,0.7628624,0.6940587,0.53078365,0.16817567,1.0750643,0.45266634,0.0,0.30301562,0.34768754,0.1771251,0.55852467,0.0,0.561286,0.37065724,0.25558937,0.35838526,0.21928926,0.2322048,0.6767754,0.80533814,0.0,0.6676183,0.0,0.18817608,0.23659289,0.0,0.5838075,0.40830213,0.8309909,0.0,0.33802724,0.0,0.0,0.6252195,0.56120473,0.63052386,0.80288804,0.0
0.0,0.39551997,0.6306512,0.0,0.7643088,0.45775986,0.53374076,0.06557571,0.0044464916,0.12387636,0.7969995,0.0,0.15865602,0.13828884,0.46173662,0.33931348,0.06228202,0.0,0.24960333,0.7399903,0.76958346,0.91763115,0.6514057,0.0,0.52154124,0.44648844,0.9346339,0.7957835,0.32943553,0.26359692,0.42231524,0.23276263,0.08612147,0.3002654,0.11868201,0.0,0.48554277,0.0,0.32568896,0.42833468,0.0,0.3951363,0.33650935,0.10126398,0.22756639,0.3381179,0.0052398145,0.47405386,0.08495982,0.0,0.826051,0.0,0.7995911,0.3176332,0.34731233,0.16017477,0.2896706,0.0,0.42092615,0.6538724,0.7669525,0.3870028,1.081572,0.15463659
0.0,0.2850012,0.5786855,0.0,0.5175606,0.32809526,0.47717068,0.0019037277,0.20557079,0.13190027,0.7813064,0.25203267,0.17804204,0.2273875,0.57367337,0.28625643,0.0048214532,0.0,0.2978463,0.8957161,0.8522592,0.9453,0.800537,0.0,0.4625923,0.40676576,0.99875486,0.7291097,0.49694765,0.07051972,0.36216068,0.6055705,0.2335909,0.26118186,0.16268809,0.24336053,0.646445,0.0,0.3179701,0.52964956,0.1486056,0.36241502,0.30174416,0.21232845,0.16819268,0.41456157,0.10611091,0.6385078,0.17831668,0.030843455,0.8091632,0.0,0.7851132,0.115420654,0.40861434,0.0,0.21252985,0.2839705,0.45838302,0.7183572,0.7252682,0.5634895,1.0803466,0.21476269
