Name,GPU_Brand,GPU_Chipset,Model,Memory_Size,Memory_Type,Base_Clock,Boost_Clock,TDP,Interface,Length,Cooling_Type,Power_Connectors,SLI_Support,CrossFire_Support,DisplayPort,HDMI,G-SYNC_Support,FreeSync_Support,Expansion_Slots,Seller_Product_URL,Price
Gigabyte GeForce RTX 4060 AERO OC48th / 101,NVIDIA,GeForce RTX 4060,GV-N4060AERO OC-8GD,8.0,GDDR6,1830.0,2550.0,115.0,PCIe x16,281.0,3 Fans,18.0,No,No,2.0,2.0,Yes,No,2.0,https://www.amazon.com/dp/B0C8K3DFD9?tag=pangoly0b-20,489.99
Gigabyte GeForce RTX 4060 Eagle OC ICE 8G48th / 101,NVIDIA,GeForce RTX 4060,GV-N4060EAGLEOC ICE-8GD,8.0,GDDR6,1830.0,2505.0,115.0,PCIe x16,272.0,3 Fans,18.0,No,No,2.0,2.0,Yes,No,2.0,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3dN82E16814932696%26ignorebbr%3d1,309.99
Gigabyte GeForce RTX 4060 Eagle OC ICE 8G48th / 101,NVIDIA,GeForce RTX 4060,GV-N4060EAGLEOC ICE-8GD,8.0,GDDR6,1830.0,2505.0,115.0,PCIe x16,272.0,3 Fans,18.0,No,No,2.0,2.0,Yes,No,2.0,https://www.bhphotovideo.com/c/product/1832591-REG/gigabyte_gv_n4060eagleoc_ice_8gd_geforce_rtx_4060_eagle.html/BI/21936/KBID/28297,309.99
Gigabyte GeForce RTX 4060 Eagle OC ICE 8G48th / 101,NVIDIA,GeForce RTX 4060,GV-N4060EAGLEOC ICE-8GD,8.0,GDDR6,1830.0,2505.0,115.0,PCIe x16,272.0,3 Fans,18.0,No,No,2.0,2.0,Yes,No,2.0,https://www.amazon.com/dp/B0CVQN2XKX?tag=pangoly0b-20,599.99
Gigabyte GeForce RTX 4060 GAMING OC48th / 101,NVIDIA,GeForce RTX 4060,GV-N4060GAMING OC-8GD,8.0,GDDR6,1830.0,2550.0,115.0,PCIe x16,281.0,3 Fans,18.0,No,No,2.0,2.0,Yes,No,2.0,https://www.amazon.com/dp/B0C8KQRH32?tag=pangoly0b-20,479.87
GIGABYTE GeForce RTX 4060 OC Low Profile 8G48th / 101,NVIDIA,GeForce RTX 4060,GV-N4060OC-8GL,8.0,GDDR6,1830.0,2475.0,115.0,PCIe x16,182.0,3 Fans,18.0,No,No,2.0,2.0,Yes,No,2.0,https://www.amazon.com/dp/B0CDJLSZ73?tag=pangoly0b-20,598.0
Gigabyte GeForce RTX 4060 Ti AERO OC34th / 101,NVIDIA,GeForce RTX 4060 Ti 8GB,GV-N406TAERO OC-8GD,8.0,GDDR6,2310.0,2580.0,165.0,PCIe x16,281.0,3 Fans,18.0,No,No,2.0,2.0,Yes,No,2.0,https://bestbuy.7tiv.net/c/2632153/633495/10014?prodsku=6545191&u=https%3A%2F%2Fapi.bestbuy.com%2Fclick%2F-%2F6545191%2Fpdp&intsrc=CATF_4831,427.99
Gigabyte GeForce RTX 4060 Ti AERO OC34th / 101,NVIDIA,GeForce RTX 4060 Ti 8GB,GV-N406TAERO OC-8GD,8.0,GDDR6,2310.0,2580.0,165.0,PCIe x16,281.0,3 Fans,18.0,No,No,2.0,2.0,Yes,No,2.0,https://www.bhphotovideo.com/c/product/1768075-REG/gigabyte_gv_n406taero_oc_8gd_geforce_rtx_4060_ti.html/BI/21936/KBID/28297,439.99
Gigabyte GeForce RTX 4060 Ti AERO OC34th / 101,NVIDIA,GeForce RTX 4060 Ti 8GB,GV-N406TAERO OC-8GD,8.0,GDDR6,2310.0,2580.0,165.0,PCIe x16,281.0,3 Fans,18.0,No,No,2.0,2.0,Yes,No,2.0,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3dN82E16814932617%26ignorebbr%3d1,449.99
Gigabyte GeForce RTX 4060 Ti AERO OC 16G29th / 101,NVIDIA,GeForce RTX 4060 Ti,GV-N406TAERO OC-16GD,16.0,GDDR6,2310.0,2595.0,165.0,PCIe x16,281.0,3 Fans,18.0,No,No,3.0,1.0,Yes,No,2.0,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3dN82E16814932634%26ignorebbr%3d1,514.99
Gigabyte GeForce RTX 4060 Ti AERO OC 16G29th / 101,NVIDIA,GeForce RTX 4060 Ti,GV-N406TAERO OC-16GD,16.0,GDDR6,2310.0,2595.0,165.0,PCIe x16,281.0,3 Fans,18.0,No,No,3.0,1.0,Yes,No,2.0,https://www.bhphotovideo.com/c/product/1777414-REG/gigabyte_gv_n406taero_oc_16gd_geforce_rtx_4060_ti.html/BI/21936/KBID/28297,514.99
Gigabyte GeForce RTX 4060 Ti AERO OC 16G29th / 101,NVIDIA,GeForce RTX 4060 Ti,GV-N406TAERO OC-16GD,16.0,GDDR6,2310.0,2595.0,165.0,PCIe x16,281.0,3 Fans,18.0,No,No,3.0,1.0,Yes,No,2.0,https://bestbuy.7tiv.net/c/2632153/633495/10014?prodsku=6551342&u=https%3A%2F%2Fapi.bestbuy.com%2Fclick%2F-%2F6551342%2Fpdp&intsrc=CATF_4831,529.99
Gigabyte GeForce RTX 4060 Ti EAGLE OC 8G34th / 101,NVIDIA,GeForce RTX 4060 Ti 8GB,GV-N406TEAGLE OC-8GD,8.0,GDDR6,2310.0,2550.0,165.0,PCIe x16,272.0,3 Fans,18.0,No,No,2.0,2.0,Yes,No,2.0,https://bestbuy.7tiv.net/c/2632153/633495/10014?prodsku=6545186&u=https%3A%2F%2Fapi.bestbuy.com%2Fclick%2F-%2F6545186%2Fpdp&intsrc=CATF_4831,409.99
Gigabyte GeForce RTX 4060 Ti EAGLE OC 8G34th / 101,NVIDIA,GeForce RTX 4060 Ti 8GB,GV-N406TEAGLE OC-8GD,8.0,GDDR6,2310.0,2550.0,165.0,PCIe x16,272.0,3 Fans,18.0,No,No,2.0,2.0,Yes,No,2.0,https://www.bhphotovideo.com/c/product/1768077-REG/gigabyte_gv_n406teagle_oc_8gd_geforce_rtx_4060_ti.html/BI/21936/KBID/28297,419.99
Gigabyte GeForce RTX 4060 Ti EAGLE OC 8G34th / 101,NVIDIA,GeForce RTX 4060 Ti 8GB,GV-N406TEAGLE OC-8GD,8.0,GDDR6,2310.0,2550.0,165.0,PCIe x16,272.0,3 Fans,18.0,No,No,2.0,2.0,Yes,No,2.0,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3dN82E16814932619%26ignorebbr%3d1,419.99
Gigabyte GeForce RTX 4060 Ti EAGLE OC 8G34th / 101,NVIDIA,GeForce RTX 4060 Ti 8GB,GV-N406TEAGLE OC-8GD,8.0,GDDR6,2310.0,2550.0,165.0,PCIe x16,272.0,3 Fans,18.0,No,No,2.0,2.0,Yes,No,2.0,https://goto.walmart.com/c/2632153/1285387/9383?prodsku=3817034395&u=https%3A%2F%2Fwww.walmart.com%2Fip%2FGIGABYTE-GeForce-RTX-4060-Ti-EAGLE-OC-8G-Graphics-Card-3x-WINDFORCE-Fans-8GB-128-bit-GDDR6-GV-N406TEAGLE-OC-8GD-Video-Card%2F3817034395&intsrc=CATF_9768,429.99
GIGABYTE GeForce RTX 4060 Ti Eagle OC ICE 8G34th / 101,NVIDIA,GeForce RTX 4060 Ti 8GB,GV-N406TEAGLEOC ICE-8GD,8.0,GDDR6,2310.0,2550.0,165.0,PCIe x16,272.0,3 Fans,18.0,No,No,2.0,2.0,Yes,No,2.0,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3dN82E16814932695%26ignorebbr%3d1,409.99
GIGABYTE GeForce RTX 4060 Ti Eagle OC ICE 8G34th / 101,NVIDIA,GeForce RTX 4060 Ti 8GB,GV-N406TEAGLEOC ICE-8GD,8.0,GDDR6,2310.0,2550.0,165.0,PCIe x16,272.0,3 Fans,18.0,No,No,2.0,2.0,Yes,No,2.0,https://www.bhphotovideo.com/c/product/1818163-REG/gigabyte_gv_n406teagleoc_ice_8gd_geforce_rtx_4060_ti.html/BI/21936/KBID/28297,414.99
Gigabyte GeForce RTX 4060 Ti GAMING OC 8G34th / 101,NVIDIA,GeForce RTX 4060 Ti 8GB,GV-N406TGAMING OC-8GD,8.0,GDDR6,2310.0,2580.0,165.0,PCIe x16,281.0,3 Fans,18.0,No,No,2.0,2.0,Yes,No,2.0,https://bestbuy.7tiv.net/c/2632153/633495/10014?prodsku=6545188&u=https%3A%2F%2Fapi.bestbuy.com%2Fclick%2F-%2F6545188%2Fpdp&intsrc=CATF_4831,343.99
Gigabyte GeForce RTX 4060 Ti GAMING OC 8G34th / 101,NVIDIA,GeForce RTX 4060 Ti 8GB,GV-N406TGAMING OC-8GD,8.0,GDDR6,2310.0,2580.0,165.0,PCIe x16,281.0,3 Fans,18.0,No,No,2.0,2.0,Yes,No,2.0,https://www.bhphotovideo.com/c/product/1768076-REG/gigabyte_gv_n406tgaming_oc_8gd_geforce_rtx_4060_ti.html/BI/21936/KBID/28297,429.99
Gigabyte GeForce RTX 4060 Ti GAMING OC 8G34th / 101,NVIDIA,GeForce RTX 4060 Ti 8GB,GV-N406TGAMING OC-8GD,8.0,GDDR6,2310.0,2580.0,165.0,PCIe x16,281.0,3 Fans,18.0,No,No,2.0,2.0,Yes,No,2.0,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3dN82E16814932618%26ignorebbr%3d1,424.99
Gigabyte GeForce RTX 4060 Ti GAMING OC 8G34th / 101,NVIDIA,GeForce RTX 4060 Ti 8GB,GV-N406TGAMING OC-8GD,8.0,GDDR6,2310.0,2580.0,165.0,PCIe x16,281.0,3 Fans,18.0,No,No,2.0,2.0,Yes,No,2.0,https://goto.walmart.com/c/2632153/1285387/9383?prodsku=2798663687&u=https%3A%2F%2Fwww.walmart.com%2Fip%2FGIGABYTE-GeForce-RTX-4060-Ti-GAMING-OC-8G-Graphics-Card-3x-WINDFORCE-Fans-8GB-128-bit-GDDR6-GV-N406TGAMING-OC-8GD-Video-Card%2F2798663687&intsrc=CATF_9768,439.99
Gigabyte GeForce RTX 4060 Ti GAMING OC 8G34th / 101,NVIDIA,GeForce RTX 4060 Ti 8GB,GV-N406TGAMING OC-8GD,8.0,GDDR6,2310.0,2580.0,165.0,PCIe x16,281.0,3 Fans,18.0,No,No,2.0,2.0,Yes,No,2.0,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3d9SIA8UCKDJ9743%26ignorebbr%3d1,1096.63
Gigabyte GeForce RTX 4060 WINDFORCE OC48th / 101,NVIDIA,GeForce RTX 4060,GV-N4060WF2OC-8GD,8.0,GDDR6,1830.0,2475.0,115.0,PCIe x16,192.0,2 Fans,18.0,No,No,2.0,2.0,Yes,No,2.0,https://www.amazon.com/dp/B0C8JZNLZL?tag=pangoly0b-20,399.95
Gigabyte GeForce RTX 4070 AERO OC 12G22nd / 101,NVIDIA,GeForce RTX 4070,GV-N4070AERO OC-12GD,12.0,GDDR6X,1920.0,2565.0,200.0,PCIe x16,300.0,3 Fans,116.0,No,No,3.0,1.0,Yes,No,2.0,https://www.bhphotovideo.com/c/product/1759864-REG/gigabyte_gv_n4070aero_oc_12gd_geforce_rtx_4070_aero.html/BI/21936/KBID/28297,669.99
Gigabyte GeForce RTX 4070 AERO OC 12G22nd / 101,NVIDIA,GeForce RTX 4070,GV-N4070AERO OC-12GD,12.0,GDDR6X,1920.0,2565.0,200.0,PCIe x16,300.0,3 Fans,116.0,No,No,3.0,1.0,Yes,No,2.0,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3dN82E16814932608%26ignorebbr%3d1,669.99
Gigabyte GeForce RTX 4070 AERO OC 12G22nd / 101,NVIDIA,GeForce RTX 4070,GV-N4070AERO OC-12GD,12.0,GDDR6X,1920.0,2565.0,200.0,PCIe x16,300.0,3 Fans,116.0,No,No,3.0,1.0,Yes,No,2.0,https://bestbuy.7tiv.net/c/2632153/633495/10014?prodsku=6539988&u=https%3A%2F%2Fapi.bestbuy.com%2Fclick%2F-%2F6539988%2Fpdp&intsrc=CATF_4831,679.99
Gigabyte GeForce RTX 4070 EAGLE OC 12G22nd / 101,NVIDIA,GeForce RTX 4070,GV-N4070EAGLE OC-12GD,12.0,GDDR6X,1920.0,2505.0,200.0,PCIe x16,261.0,3 Fans,18.0,No,No,3.0,1.0,Yes,No,2.0,https://bestbuy.7tiv.net/c/2632153/633495/10014?prodsku=6539987&u=https%3A%2F%2Fapi.bestbuy.com%2Fclick%2F-%2F6539987%2Fpdp&intsrc=CATF_4831,549.99
Gigabyte GeForce RTX 4070 EAGLE OC 12G22nd / 101,NVIDIA,GeForce RTX 4070,GV-N4070EAGLE OC-12GD,12.0,GDDR6X,1920.0,2505.0,200.0,PCIe x16,261.0,3 Fans,18.0,No,No,3.0,1.0,Yes,No,2.0,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3dN82E16814932610%26ignorebbr%3d1,619.99
Gigabyte GeForce RTX 4070 EAGLE OC 12G22nd / 101,NVIDIA,GeForce RTX 4070,GV-N4070EAGLE OC-12GD,12.0,GDDR6X,1920.0,2505.0,200.0,PCIe x16,261.0,3 Fans,18.0,No,No,3.0,1.0,Yes,No,2.0,https://www.bhphotovideo.com/c/product/1759866-REG/gigabyte_gv_n4070eagle_oc_12gd_geforce_rtx_4070_eagle.html/BI/21936/KBID/28297,639.0
Gigabyte GeForce RTX 4070 GAMING OC 12G22nd / 101,NVIDIA,GeForce RTX 4070,GV-N4070GAMING OC-12GD,12.0,GDDR6X,1920.0,2565.0,200.0,PCIe x16,300.0,3 Fans,116.0,No,No,3.0,1.0,Yes,No,2.0,https://www.amazon.com/dp/B0BZHBRQCQ?tag=pangoly0b-20,1140.0
Gigabyte GeForce RTX 4070 SUPER 12GB EAGLE OC16th / 101,NVIDIA,GeForce RTX 4070 SUPER,GV-N407SEAGLE OC-12GD,12.0,GDDR6X,1980.0,2535.0,220.0,PCIe x16,261.0,3 Fans,116.0,No,No,3.0,1.0,Yes,No,2.0,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3dN82E16814932682%26ignorebbr%3d1,649.99
Gigabyte GeForce RTX 4070 SUPER 12GB EAGLE OC16th / 101,NVIDIA,GeForce RTX 4070 SUPER,GV-N407SEAGLE OC-12GD,12.0,GDDR6X,1980.0,2535.0,220.0,PCIe x16,261.0,3 Fans,116.0,No,No,3.0,1.0,Yes,No,2.0,https://www.bhphotovideo.com/c/product/1805065-REG/gigabyte_gv_n407seagle_oc_12gd_geforce_rtx_4070_super.html/BI/21936/KBID/28297,679.99
Gigabyte Geforce RTX 4070 SUPER AERO OC 12G16th / 101,NVIDIA,GeForce RTX 4070 SUPER,GV-N407SAERO OC-12GD,12.0,GDDR6X,1980.0,2565.0,220.0,PCIe x16,300.0,3 Fans,116.0,No,No,3.0,1.0,Yes,No,2.0,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3dN82E16814932680%26ignorebbr%3d1,664.99
Gigabyte Geforce RTX 4070 SUPER AERO OC 12G16th / 101,NVIDIA,GeForce RTX 4070 SUPER,GV-N407SAERO OC-12GD,12.0,GDDR6X,1980.0,2565.0,220.0,PCIe x16,300.0,3 Fans,116.0,No,No,3.0,1.0,Yes,No,2.0,https://www.bhphotovideo.com/c/product/1805063-REG/gigabyte_gv_n407saero_oc_12gd_geforce_rtx_4070_aero.html/BI/21936/KBID/28297,669.99
Gigabyte Geforce RTX 4070 SUPER AERO OC 12G16th / 101,NVIDIA,GeForce RTX 4070 SUPER,GV-N407SAERO OC-12GD,12.0,GDDR6X,1980.0,2565.0,220.0,PCIe x16,300.0,3 Fans,116.0,No,No,3.0,1.0,Yes,No,2.0,https://bestbuy.7tiv.net/c/2632153/633495/10014?prodsku=6573356&u=https%3A%2F%2Fapi.bestbuy.com%2Fclick%2F-%2F6573356%2Fpdp&intsrc=CATF_4831,679.99
GIGABYTE GeForce RTX 4070 SUPER EAGLE OC ICE 12G16th / 101,NVIDIA,GeForce RTX 4070 SUPER,GV-N407SEAGLEOC ICE-12GD,12.0,GDDR6X,1980.0,2535.0,220.0,PCIe x16,261.0,3 Fans,116.0,No,No,3.0,1.0,Yes,No,2.0,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3dN82E16814932693%26ignorebbr%3d1,629.99
GIGABYTE GeForce RTX 4070 SUPER EAGLE OC ICE 12G16th / 101,NVIDIA,GeForce RTX 4070 SUPER,GV-N407SEAGLEOC ICE-12GD,12.0,GDDR6X,1980.0,2535.0,220.0,PCIe x16,261.0,3 Fans,116.0,No,No,3.0,1.0,Yes,No,2.0,https://www.bhphotovideo.com/c/product/1820129-REG/gigabyte_gv_n407seagleoc_ice_12gd_geforce_rtx_4070_super.html/BI/21936/KBID/28297,639.99
Gigabyte Geforce RTX 4070 SUPER GAMING OC 12G16th / 101,NVIDIA,GeForce RTX 4070 SUPER,GV-N407SGAMING OC-12GD,12.0,GDDR6X,1980.0,2565.0,220.0,PCIe x16,300.0,3 Fans,116.0,No,No,3.0,1.0,Yes,No,2.0,https://www.amazon.com/dp/B0CSJWWDS7?tag=pangoly0b-20,1045.9
Gigabyte Geforce RTX 4070 SUPER WindForce OC 12G16th / 101,NVIDIA,GeForce RTX 4070 SUPER,GV-N407SWF3OC-12GD,12.0,GDDR6X,1980.0,2505.0,220.0,PCIe x16,261.0,3 Fans,116.0,No,No,3.0,1.0,Yes,No,2.0,https://www.amazon.com/dp/B0CSJV61BN?tag=pangoly0b-20,869.58
GIGABYTE GeForce RTX 4070 Ti AERO OC V2 12G11th / 101,NVIDIA,GeForce RTX 4070 Ti,GV-N407TAERO OCV2-12GD,12.0,GDDR6X,2310.0,2640.0,285.0,PCIe x16,300.0,3 Fans,116.0,No,No,3.0,1.0,Yes,No,2.0,https://www.bhphotovideo.com/c/product/1766713-REG/gigabyte_gv_n407taero_ocv2_12gd_geforce_rtx_4070_ti.html/BI/21936/KBID/28297,799.99
GIGABYTE GeForce RTX 4070 Ti AERO OC V2 12G11th / 101,NVIDIA,GeForce RTX 4070 Ti,GV-N407TAERO OCV2-12GD,12.0,GDDR6X,2310.0,2640.0,285.0,PCIe x16,300.0,3 Fans,116.0,No,No,3.0,1.0,Yes,No,2.0,https://bestbuy.7tiv.net/c/2632153/633495/10014?prodsku=6562745&u=https%3A%2F%2Fapi.bestbuy.com%2Fclick%2F-%2F6562745%2Fpdp&intsrc=CATF_4831,809.99
GIGABYTE GeForce RTX 4070 Ti AERO OC V2 12G11th / 101,NVIDIA,GeForce RTX 4070 Ti,GV-N407TAERO OCV2-12GD,12.0,GDDR6X,2310.0,2640.0,285.0,PCIe x16,300.0,3 Fans,116.0,No,No,3.0,1.0,Yes,No,2.0,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3dN82E16814932615%26ignorebbr%3d1,849.99
Gigabyte GeForce RTX 4070 Ti SUPER AERO OC9th / 101,NVIDIA,GeForce RTX 4070 Ti SUPER,GV-N407TSAERO OC-16GD,16.0,GDDR6X,2340.0,2655.0,285.0,PCIe x16,300.0,3 Fans,116.0,No,No,3.0,1.0,Yes,No,2.0,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3dN82E16814932675%26ignorebbr%3d1,849.97
Gigabyte GeForce RTX 4070 Ti SUPER AERO OC9th / 101,NVIDIA,GeForce RTX 4070 Ti SUPER,GV-N407TSAERO OC-16GD,16.0,GDDR6X,2340.0,2655.0,285.0,PCIe x16,300.0,3 Fans,116.0,No,No,3.0,1.0,Yes,No,2.0,https://www.bhphotovideo.com/c/product/1805068-REG/gigabyte_gv_n407tsaero_oc_16gd_geforce_rtx_4070_ti.html/BI/21936/KBID/28297,859.99
Gigabyte GeForce RTX 4070 Ti SUPER AERO OC9th / 101,NVIDIA,GeForce RTX 4070 Ti SUPER,GV-N407TSAERO OC-16GD,16.0,GDDR6X,2340.0,2655.0,285.0,PCIe x16,300.0,3 Fans,116.0,No,No,3.0,1.0,Yes,No,2.0,https://bestbuy.7tiv.net/c/2632153/633495/10014?prodsku=6572569&u=https%3A%2F%2Fapi.bestbuy.com%2Fclick%2F-%2F6572569%2Fpdp&intsrc=CATF_4831,967.99
GIGABYTE GeForce RTX 4070 Ti SUPER AI TOP 16G9th / 101,NVIDIA,GeForce RTX 4070 Ti SUPER,GV-N407TSAI TOP-16GD,16.0,GDDR6X,2340.0,2610.0,285.0,PCIe x16,260.0,1 Fan,116.0,No,No,3.0,1.0,Yes,No,2.0,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3dN82E16814932736%26ignorebbr%3d1,879.99
GIGABYTE GeForce RTX 4070 Ti SUPER AI TOP 16G9th / 101,NVIDIA,GeForce RTX 4070 Ti SUPER,GV-N407TSAI TOP-16GD,16.0,GDDR6X,2340.0,2610.0,285.0,PCIe x16,260.0,1 Fan,116.0,No,No,3.0,1.0,Yes,No,2.0,https://www.bhphotovideo.com/c/product/1839645-REG/gigabyte_gv_n407tsai_top_16gd_geforce_rtx_4070_ti.html/BI/21936/KBID/28297,879.99
Gigabyte GeForce RTX 4070 Ti SUPER Eagle OC9th / 101,NVIDIA,GeForce RTX 4070 Ti SUPER,GV-N407TSEAGLE OC-16GD,16.0,GDDR6X,2340.0,2640.0,285.0,PCIe x16,261.0,3 Fans,116.0,No,No,3.0,1.0,Yes,No,2.0,https://www.bhphotovideo.com/c/product/1805070-REG/gigabyte_gv_n407tseagle_oc_16gd_geforce_rtx_4070_ti.html/BI/21936/KBID/28297,819.99
Gigabyte GeForce RTX 4070 Ti SUPER Eagle OC9th / 101,NVIDIA,GeForce RTX 4070 Ti SUPER,GV-N407TSEAGLE OC-16GD,16.0,GDDR6X,2340.0,2640.0,285.0,PCIe x16,261.0,3 Fans,116.0,No,No,3.0,1.0,Yes,No,2.0,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3dN82E16814932677%26ignorebbr%3d1,819.99
GIGABYTE GeForce RTX 4070 Ti SUPER EAGLE OC ICE...9th / 101,NVIDIA,GeForce RTX 4070 Ti SUPER,GV-N407TSEAGLEOC ICE-16GD,16.0,GDDR6X,2310.0,2640.0,285.0,PCIe x16,261.0,3 Fans,116.0,No,No,3.0,1.0,Yes,No,2.0,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3dN82E16814932692%26ignorebbr%3d1,839.99
Gigabyte GeForce RTX 4070 Ti SUPER GAMING OC9th / 101,NVIDIA,GeForce RTX 4070 Ti SUPER,GV-N407TSGAMING OC-16GD,16.0,GDDR6X,2340.0,2655.0,285.0,PCIe x16,300.0,3 Fans,116.0,No,No,3.0,1.0,Yes,No,2.0,https://www.amazon.com/dp/B0CSJVCD3Y?tag=pangoly0b-20,1480.0
GIGABYTE GeForce RTX 4070 Ti SUPER WINDFORCE MA...9th / 101,NVIDIA,GeForce RTX 4070 Ti SUPER,GV-N407TSWF3MAX OC-16GD,16.0,GDDR6X,2340.0,2655.0,285.0,PCIe x16,331.0,3 Fans,116.0,No,No,3.0,1.0,Yes,No,2.0,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3dN82E16814932735%26ignorebbr%3d1,849.99
Gigabyte GeForce RTX 4070 Ti SUPER Windforce OC9th / 101,NVIDIA,GeForce RTX 4070 Ti SUPER,GV-N407TSWF3OC-16GD,16.0,GDDR6X,2340.0,2625.0,285.0,PCIe x16,261.0,3 Fans,116.0,No,No,3.0,1.0,Yes,No,2.0,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3dN82E16814932678%26ignorebbr%3d1,799.99
Gigabyte GeForce RTX 4070 Ti SUPER Windforce OC9th / 101,NVIDIA,GeForce RTX 4070 Ti SUPER,GV-N407TSWF3OC-16GD,16.0,GDDR6X,2340.0,2625.0,285.0,PCIe x16,261.0,3 Fans,116.0,No,No,3.0,1.0,Yes,No,2.0,https://www.bhphotovideo.com/c/product/1805072-REG/gigabyte_gv_n407tswf3oc_16gd_geforce_rtx_4070_ti.html/BI/21936/KBID/28297,819.99
Gigabyte GeForce RTX 4070 Ti SUPER Windforce OC9th / 101,NVIDIA,GeForce RTX 4070 Ti SUPER,GV-N407TSWF3OC-16GD,16.0,GDDR6X,2340.0,2625.0,285.0,PCIe x16,261.0,3 Fans,116.0,No,No,3.0,1.0,Yes,No,2.0,https://bestbuy.7tiv.net/c/2632153/633495/10014?prodsku=6572570&u=https%3A%2F%2Fapi.bestbuy.com%2Fclick%2F-%2F6572570%2Fpdp&intsrc=CATF_4831,879.99
GIGABYTE GeForce RTX 4070 WINDFORCE 2X OC 12G22nd / 101,NVIDIA,GeForce RTX 4070,GV-N4070WF2OC-12GD,12.0,GDDR6X,2475.0,2490.0,200.0,PCIe x16,201.0,2 Fans,18.0,No,No,3.0,1.0,Yes,No,2.0,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3dN82E16814932667%26ignorebbr%3d1,549.99
GIGABYTE GeForce RTX 4070 WINDFORCE 2X OC 12G22nd / 101,NVIDIA,GeForce RTX 4070,GV-N4070WF2OC-12GD,12.0,GDDR6X,2475.0,2490.0,200.0,PCIe x16,201.0,2 Fans,18.0,No,No,3.0,1.0,Yes,No,2.0,https://www.bhphotovideo.com/c/product/1795500-REG/gigabyte_gv_n4070wf2oc_12gd_geforce_rtx_4070_windforce.html/BI/21936/KBID/28297,549.99
Gigabyte GeForce RTX 4070 WINDFORCE OC 12G22nd / 101,NVIDIA,GeForce RTX 4070,GV-N4070WF3OC-12GD,12.0,GDDR6X,1920.0,2490.0,200.0,PCIe x16,261.0,3 Fans,18.0,No,No,3.0,1.0,Yes,No,2.0,https://www.amazon.com/dp/B0BZHCQ6PF?tag=pangoly0b-20,878.88
