Name,GPU_Brand,GPU_Chipset,Model,Memory_Size,Memory_Type,Base_Clock,Boost_Clock,TDP,Interface,Length,Cooling_Type,Power_Connectors,SLI_Support,CrossFire_Support,DisplayPort,HDMI,G-SYNC_Support,FreeSync_Support,Expansion_Slots,Seller_Product_URL,Price
ASRock Radeon RX 7700 XT Steel Legend 12GB OC28th / 101,AMD,Radeon RX 7700 XT,RX7700XT SL 12GO,12.0,GDDR6,1700.0,2599.0,245.0,PCIe x16,304.0,3 Fans,28.0,No,No,3.0,1.0,No,Yes,2.0,https://www.amazon.com/dp/B0CHK34LNK?tag=pangoly0b-20,1130.93
ASRock Radeon RX 7800 XT Challenger21st / 101,AMD,Radeon RX 7800 XT,RX7800XT CL 16GO90-GA4SZZ-00UANF,16.0,GDDR6,1295.0,2475.0,263.0,PCIe x16,267.0,2 Fans,28.0,No,No,3.0,1.0,No,Yes,2.0,https://www.amazon.com/dp/B0CHK3929K?tag=pangoly0b-20,831.9
ASRock Radeon RX 7800 XT Phantom Gaming 16GB OC21st / 101,AMD,Radeon RX 7800 XT,RX7800XT PG 16GO,16.0,GDDR6,1295.0,2565.0,263.0,PCIe x16,328.0,3 Fans,28.0,No,No,3.0,1.0,No,Yes,2.0,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3dN82E16814930104%26ignorebbr%3d1,529.99
ASRock Radeon RX 7800 XT Steel Legend 16GB OC21st / 101,AMD,Radeon RX 7800 XT,RX7800XT SL 16GO,16.0,GDDR6,1295.0,2520.0,263.0,PCIe x16,304.0,3 Fans,28.0,No,No,3.0,1.0,No,Yes,2.0,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3dN82E16814930105%26ignorebbr%3d1,499.97
ASRock Radeon RX 7900 XT Phantom Gaming 20GB OC10th / 101,AMD,Radeon RX 7900 XT,RX7900XT PG 20GO,20.0,GDDR6,2000.0,2450.0,300.0,PCIe x16,330.0,3 Fans,28.0,No,No,3.0,1.0,No,Yes,2.0,https://www.amazon.com/dp/B0BTPJBSBV?tag=pangoly0b-20,813.24
ASRock Radeon RX 7900 XTX Phantom Gaming 24GB OC6th / 101,AMD,Radeon RX 7900 XTX,RX7900XTX PG 24GO,24.0,GDDR6,2300.0,2615.0,355.0,PCIe x16,330.0,3 Fans,38.0,No,No,3.0,1.0,No,Yes,2.0,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3dN82E16814930081%26ignorebbr%3d1,799.99
ASRock Radeon RX 7900 XTX Phantom Gaming 24GB OC6th / 101,AMD,Radeon RX 7900 XTX,RX7900XTX PG 24GO,24.0,GDDR6,2300.0,2615.0,355.0,PCIe x16,330.0,3 Fans,38.0,No,No,3.0,1.0,No,Yes,2.0,https://www.amazon.com/dp/B0BTPK5J68?tag=pangoly0b-20,860.0
ASRock Radeon RX 9060 XT Challenger 16GB OC26th / 101,AMD,Radeon RX 9060 XT,RX9060XT CL 16GO,16.0,GDDR6,2220.0,3290.0,160.0,PCIe x16,249.0,2 Fans,18.0,No,No,2.0,1.0,No,Yes,2.0,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3dN82E16814930140%26ignorebbr%3d1,369.99
ASRock Radeon RX 9060 XT Challenger 8GB OC,AMD,Radeon RX 9060 XT 8GB,RX9060XT CL 8GO,8.0,GDDR6,2220.0,3290.0,160.0,PCIe x16,249.0,2 Fans,18.0,No,No,2.0,1.0,No,Yes,2.0,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3dN82E16814930142%26ignorebbr%3d1,319.99
ASRock Radeon RX 9060 XT Steel Legend 16GB OC26th / 101,AMD,Radeon RX 9060 XT,RX9060XT SL 16GO,16.0,GDDR6,2220.0,3320.0,160.0,PCIe x16,298.0,3 Fans,18.0,No,No,2.0,1.0,No,Yes,2.0,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3dN82E16814930139%26ignorebbr%3d1,389.99
