Name,Description,Price,URL,Memory (GB),Memory Type,Chipset,Bus Interface,Ports,Cooling
Acer Nitro AMD Radeon RX 9070 XT OC 16 Go,16 Go GDDR6 - HDMI/Tri-DisplayPort - PCI Express (AMD Radeon RX 9070 XT),799€95,https://www.ldlc.com/fiche/PB00684838.html,16,GDDR6,RX9070,PCIEXPRESS,"HDMI, DisplayPort",
Acer Nitro Radeon RX 9060 XT OC 16GB,16 Go GDDR6 - HDMI/Dual-DisplayPort - PCI Express (AMD Radeon RX 9060 XT),429€95,https://www.ldlc.com/fiche/PB00686942.html,16,GDDR6,RX9060,PCIEXPRESS,"HDMI, DisplayPort",
Acer Nitro Radeon RX 9060 XT OC 8GB,8 Go GDDR6 - HDMI/Dual-DisplayPort - PCI Express (AMD Radeon RX 9060 XT),429€95,https://www.ldlc.com/fiche/PB00686943.html,8,GDDR6,RX9060,PCIEXPRESS,"HDMI, DisplayPort",
Acer PREDATOR BiFrost AMD Radeon RX 9070 OC 16 Go,16 Go GDDR6 - HDMI/Tri-DisplayPort - PCI Express (AMD Radeon RX 9070),769€95,https://www.ldlc.com/fiche/PB00684834.html,16,GDDR6,RX9070,PCIEXPRESS,"HDMI, DisplayPort",
Acer PREDATOR BiFrost AMD Radeon RX 9070 XT OC 16 Go,16 Go GDDR6 - HDMI/Tri-DisplayPort - PCI Express (AMD Radeon RX 9070 XT),839€95,https://www.ldlc.com/fiche/PB00684837.html,16,GDDR6,RX9070,PCIEXPRESS,"HDMI, DisplayPort",
ASRock AMD Radeon RX 7600 Challenger 8GB,8 Go GDDR6 - HDMI/Tri DisplayPort - PCI Express (AMD Radeon RX 7600),314€95,https://www.ldlc.com/fiche/PB00555974.html,8,GDDR6,RX7600,PCIEXPRESS,"HDMI, DisplayPort",
ASRock AMD Radeon RX 7600 Steel Legend 8GB OC,8 Go GDDR6 - HDMI/Tri DisplayPort - PCI Express (AMD Radeon RX 7600),349€95,https://www.ldlc.com/fiche/PB00555976.html,8,GDDR6,RX7600,PCIEXPRESS,"HDMI, DisplayPort",
ASRock AMD Radeon RX 7700 XT Challenger 12GB OC,12 Go GDDR6 - HDMI/Tri DisplayPort - PCI Express (AMD Radeon RX 7700 XT),479€95,https://www.ldlc.com/fiche/PB00569973.html,12,GDDR6,RX7700,PCIEXPRESS,"HDMI, DisplayPort",
ASRock AMD Radeon RX 9060 XT Challenger 8GB OC,8 Go GDDR6 - HDMI/Dual-DisplayPort - PCI Express (AMD Radeon RX 9060 XT),349€95,https://www.ldlc.com/fiche/PB00686698.html,8,GDDR6,RX9060,PCIEXPRESS,"HDMI, DisplayPort",
ASRock AMD Radeon RX 9060 XT Steel Legend 16GB OC,16 Go GDDR6 - HDMI/Dual-DisplayPort - PCI Express (AMD Radeon RX 9060 XT),459€95,https://www.ldlc.com/fiche/PB00686701.html,16,GDDR6,RX9060,PCIEXPRESS,"HDMI, DisplayPort",
ASRock AMD Radeon RX 9070 Challenger 16GB,16 Go GDDR6 - HDMI/Tri-DisplayPort - PCI Express (AMD Radeon RX 9070),649€95,https://www.ldlc.com/fiche/PB00671036.html,16,GDDR6,RX9070,PCIEXPRESS,"HDMI, DisplayPort",
ASRock AMD Radeon RX 9070 Steel Legend 16GB,16 Go GDDR6 - HDMI/Tri-DisplayPort - PCI Express (AMD Radeon RX 9070),659€95,https://www.ldlc.com/fiche/PB00668399.html,16,GDDR6,RX9070,PCIEXPRESS,"HDMI, DisplayPort",
ASRock AMD Radeon RX 9070 XT Steel Legend 16GB,16 Go GDDR6 - HDMI/Tri-DisplayPort - PCI Express (AMD Radeon RX 9070 XT),739€95,https://www.ldlc.com/fiche/PB00671039.html,16,GDDR6,RX9070,PCIEXPRESS,"HDMI, DisplayPort",
