Name,Description,Price,URL,Capacity (GB),Modules,Type,Frequency (MHz),CAS Latency,RGB
Corsair Dominator Platinum DDR5 RGB 64 Go (2 x 32 Go) 6800 MHz CL40,Kit Dual Channel 2 barrettes de RAM DDR5 PC5-544000 - CMT64GX5M2B6800C40,507€95,https://www.ldlc.com/fiche/PB00556063.html,64,2,DDR5,6800,40,Yes
Corsair Dominator Platinum RGB 32 Go (2 x 16 Go) DDR4 3200 MHz CL16,Kit Dual Channel 2 barrettes de RAM DDR4 PC4-25600 - CMT32GX4M2E3200C16,223€95,https://www.ldlc.com/fiche/PB00426415.html,32,2,DDR4,3200,16,Yes
Corsair Dominator Platinum RGB 32 Go (2 x 16 Go) DDR4 3600 MHz CL18 - Blanc,Kit Dual Channel 2 barrettes de RAM DDR4 PC4-28800 - CMT32GX4M2D3600C18W,277€65,https://www.ldlc.com/fiche/PB00504623.html,32,2,DDR4,3600,18,Yes
Corsair Dominator Titanium DDR5 - Kit d'éclairage Blanc,Kit de 2 barrettes d'éclairage format RAM DDR5 - blanc,88€95,https://www.ldlc.com/fiche/PB00647887.html,,1,DDR5,,,No
Corsair Dominator Titanium DDR5 - Kit d'éclairage Gris,Kit de 2 barrettes d'éclairage format RAM DDR5 - Gris,86€95,https://www.ldlc.com/fiche/PB00647889.html,,1,DDR5,,,No
Corsair Dominator Titanium DDR5 - Kit d'éclairage Noir,Kit de 2 barrettes d'éclairage format RAM DDR5 - Noir,85€95,https://www.ldlc.com/fiche/PB00647888.html,,1,DDR5,,,No
Corsair Dominator Titanium DDR5 RGB 32 Go (2 x 16 Go) 6000 MHz CL30 - Blanc,Kit Dual Channel 2 barrettes de RAM DDR5 PC5-48000 - CMP32GX5M2B6000C30W,298€95,https://www.ldlc.com/fiche/PB00572311.html,32,2,DDR5,6000,30,Yes
Corsair Dominator Titanium DDR5 RGB 32 Go (2 x 16 Go) 6000 MHz CL30 - Gris,Kit Dual Channel 2 barrettes de RAM DDR5 PC5-48000 - CMP32GX5M2B6000Z30 - Optimisé pour AMD,289€95,https://www.ldlc.com/fiche/PB00572335.html,32,2,DDR5,6000,30,Yes
Corsair Dominator Titanium DDR5 RGB 32 Go (2 x 16 Go) 6000 MHz CL30 - Noir,Kit Dual Channel 2 barrettes de RAM DDR5 PC5-48000 - CMP32GX5M2B6000C30,289€95,https://www.ldlc.com/fiche/PB00572310.html,32,2,DDR5,6000,30,Yes
Corsair Dominator Titanium DDR5 RGB 32 Go (2 x 16 Go) 6400 MHz CL32 - Blanc,Kit Dual Channel 2 barrettes de RAM DDR5 PC5-51200 - CMP32GX5M2B6400C32W,316€95,https://www.ldlc.com/fiche/PB00572326.html,32,2,DDR5,6400,32,Yes
