Name,URL,Price,Brand,Chipset,Socket,Form Factor,Memory Type,Memory Max OC,WiFi,WiFi Standard,PCIe,M2 Gen,VRM
"MSI B760 GAMING PLUS WIFI Carte Mère, ATX - Pour Processeurs Intel Core 14e, 13e & 12e Génération, LGA 1700 - DDR5 Memory Boost 6800+MHz/OC, Slots PCIe 4.0 x16, Slots M.2 Gen4, Wi-Fi 6E",https://www.amazon.fr/MSI-B760-Gaming-Plus-WiFi/dp/B0BZD3BMZL/ref=sr_1_11?c=ts&dib=eyJ2IjoiMSJ9.hQX_9PfZTHoXFrwumjL_vvTSWNx1FQTS99H-OlV5Yy7_1_whuPCj-bKqaUl6XHnH1MnOWQHMCk02OAhoGl7M8r2nQj7icB0SvCGoNUZBfirD12G2YVicQURbvgo83TuX76bE0mXXzwAjV3XRz6kWyYRG-9lMYaEZiu9W35sUA-TgWBBaS_EfZWpurcAoEQGhNnHl4h-NpkS19qyneEmrK1agBRow4fJhyEun7z-B6R6zl4Ec8brlnM8P7hCxXNJGXAw70IN7xEzAwn4fF99fSzODZeqkqUVeySrxxhf-vNM.Zj5thb4MxeJcE8JgYLDkxsUNlVpN_CR6CpuEOgdQPPs&dib_tag=se&keywords=Motherboards&qid=1760141076&s=computers&sr=1-11&ts_id=430341031,"125,61 €",Msi,B760,,ATX,DDR5,,Yes,WiFi ,4.0,4,
"ASUS TUF GAMING B660-PLUS WIFI D4 – Carte mère Intel B660 LGA 1700 ATX (PCIe 5.0, 3 x PCIe 4.0 M.2, 10+1 DrMOS, Intel 2.5Gb Ethernet, DisplayPort, HDMI, USB 3.2 Gen 2 Type-C, Aura Sync RGB)",https://www.amazon.fr/ASUS-TUF-GAMING-B660-PLUS-WIFI/dp/B09P3SM7SY/ref=sr_1_12?c=ts&dib=eyJ2IjoiMSJ9.hQX_9PfZTHoXFrwumjL_vvTSWNx1FQTS99H-OlV5Yy7_1_whuPCj-bKqaUl6XHnH1MnOWQHMCk02OAhoGl7M8r2nQj7icB0SvCGoNUZBfirD12G2YVicQURbvgo83TuX76bE0mXXzwAjV3XRz6kWyYRG-9lMYaEZiu9W35sUA-TgWBBaS_EfZWpurcAoEQGhNnHl4h-NpkS19qyneEmrK1agBRow4fJhyEun7z-B6R6zl4Ec8brlnM8P7hCxXNJGXAw70IN7xEzAwn4fF99fSzODZeqkqUVeySrxxhf-vNM.Zj5thb4MxeJcE8JgYLDkxsUNlVpN_CR6CpuEOgdQPPs&dib_tag=se&keywords=Motherboards&qid=1760141076&s=computers&sr=1-12&ts_id=430341031,"112,49 €",Asus,B660,,ATX,,,Yes,WiFi ,"5.0, 4.0",,
"MSI Pro H610M-E DDR4 Carte mère, Micro-ATX - pour processeur Intel de 14e, 13e et 12e gén., LGA 1700 - DDR4 Memory Boost 3200MHz/MAX, PCIe 4.0 x16, M.2 Gen3",https://www.amazon.fr/MSI-H610M-DDR4-LGA1700-MicroATX/dp/B0BKRDV1V3/ref=sr_1_13?c=ts&dib=eyJ2IjoiMSJ9.hQX_9PfZTHoXFrwumjL_vvTSWNx1FQTS99H-OlV5Yy7_1_whuPCj-bKqaUl6XHnH1MnOWQHMCk02OAhoGl7M8r2nQj7icB0SvCGoNUZBfirD12G2YVicQURbvgo83TuX76bE0mXXzwAjV3XRz6kWyYRG-9lMYaEZiu9W35sUA-TgWBBaS_EfZWpurcAoEQGhNnHl4h-NpkS19qyneEmrK1agBRow4fJhyEun7z-B6R6zl4Ec8brlnM8P7hCxXNJGXAw70IN7xEzAwn4fF99fSzODZeqkqUVeySrxxhf-vNM.Zj5thb4MxeJcE8JgYLDkxsUNlVpN_CR6CpuEOgdQPPs&dib_tag=se&keywords=Motherboards&qid=1760141076&s=computers&sr=1-13&ts_id=430341031,"54,07 €",Msi,H610M,,MICROATX,DDR4,,No,,4.0,3,
"ASUS TUF Gaming B650-E WiFi – Carte mère Gaming AMD Ryzen AM5 ATX (DDR5, 8+2 Phases d'alimentation, PCIe 5.0, M.2, Aura Sync RGB)",https://www.amazon.fr/ASUS-TUF-Gaming-B650-E-WiFi/dp/B0CSPFLY9N/ref=sr_1_14?c=ts&dib=eyJ2IjoiMSJ9.hQX_9PfZTHoXFrwumjL_vvTSWNx1FQTS99H-OlV5Yy7_1_whuPCj-bKqaUl6XHnH1MnOWQHMCk02OAhoGl7M8r2nQj7icB0SvCGoNUZBfirD12G2YVicQURbvgo83TuX76bE0mXXzwAjV3XRz6kWyYRG-9lMYaEZiu9W35sUA-TgWBBaS_EfZWpurcAoEQGhNnHl4h-NpkS19qyneEmrK1agBRow4fJhyEun7z-B6R6zl4Ec8brlnM8P7hCxXNJGXAw70IN7xEzAwn4fF99fSzODZeqkqUVeySrxxhf-vNM.Zj5thb4MxeJcE8JgYLDkxsUNlVpN_CR6CpuEOgdQPPs&dib_tag=se&keywords=Motherboards&qid=1760141076&s=computers&sr=1-14&ts_id=430341031,"133,16 €",Asus,B650,AM5,ATX,DDR5,,Yes,WiFi ,5.0,,
"ASUS TUF GAMING B650-PLUS – Carte mère gaming AMD Ryzen AM5 ATX (14 phases d'alimentation, PCIe 5.0 M.2 support, DDR5, 2.5 Gb Ethernet, USB4, Aura Sync RGB)",https://www.amazon.fr/ASUS-TUF-GAMING-B650-PLUS-dalimentation/dp/B0BHHY3M7L/ref=sr_1_15?c=ts&dib=eyJ2IjoiMSJ9.hQX_9PfZTHoXFrwumjL_vvTSWNx1FQTS99H-OlV5Yy7_1_whuPCj-bKqaUl6XHnH1MnOWQHMCk02OAhoGl7M8r2nQj7icB0SvCGoNUZBfirD12G2YVicQURbvgo83TuX76bE0mXXzwAjV3XRz6kWyYRG-9lMYaEZiu9W35sUA-TgWBBaS_EfZWpurcAoEQGhNnHl4h-NpkS19qyneEmrK1agBRow4fJhyEun7z-B6R6zl4Ec8brlnM8P7hCxXNJGXAw70IN7xEzAwn4fF99fSzODZeqkqUVeySrxxhf-vNM.Zj5thb4MxeJcE8JgYLDkxsUNlVpN_CR6CpuEOgdQPPs&dib_tag=se&keywords=Motherboards&qid=1760141076&s=computers&sr=1-15&ts_id=430341031,"128,05 €",Asus,B650,AM5,ATX,DDR5,,No,,5.0,,
"MSI B650 GAMING PLUS WIFI Carte mère, ATX - Pour processeurs AMD Ryzen 9000, 8000 & 7000, AM5 - VRM double rail 14+2 phases, DDR5 6400+MHz/OC, 2 x PCIe 4.0 x16, 2 x M.2 Gen4, Wi-Fi 6E",https://www.amazon.fr/MSI-B650-Gaming-Plus-WiFi/dp/B0C3R2TXHJ/ref=sr_1_16?c=ts&dib=eyJ2IjoiMSJ9.hQX_9PfZTHoXFrwumjL_vvTSWNx1FQTS99H-OlV5Yy7_1_whuPCj-bKqaUl6XHnH1MnOWQHMCk02OAhoGl7M8r2nQj7icB0SvCGoNUZBfirD12G2YVicQURbvgo83TuX76bE0mXXzwAjV3XRz6kWyYRG-9lMYaEZiu9W35sUA-TgWBBaS_EfZWpurcAoEQGhNnHl4h-NpkS19qyneEmrK1agBRow4fJhyEun7z-B6R6zl4Ec8brlnM8P7hCxXNJGXAw70IN7xEzAwn4fF99fSzODZeqkqUVeySrxxhf-vNM.Zj5thb4MxeJcE8JgYLDkxsUNlVpN_CR6CpuEOgdQPPs&dib_tag=se&keywords=Motherboards&qid=1760141076&s=computers&sr=1-16&ts_id=430341031,"132,22 €",Msi,B650,AM5,ATX,DDR5,,Yes,WiFi ,4.0,4,
"MSI Pro B650-A WiFi Carte mère, ATX - pour processeurs AMD Ryzen 9000, 8000 & 7000, AM5 - DDR5 Memory Boost 7600+MHz/OC, 2 x PCIe 4.0 x16, 3 x M.2 Gen4, Wi-FI 6E",https://www.amazon.fr/MSI-B650-WiFi-Carte-m%C3%A8re/dp/B0BSLJCK6F/ref=sr_1_17?c=ts&dib=eyJ2IjoiMSJ9.hQX_9PfZTHoXFrwumjL_vvTSWNx1FQTS99H-OlV5Yy7_1_whuPCj-bKqaUl6XHnH1MnOWQHMCk02OAhoGl7M8r2nQj7icB0SvCGoNUZBfirD12G2YVicQURbvgo83TuX76bE0mXXzwAjV3XRz6kWyYRG-9lMYaEZiu9W35sUA-TgWBBaS_EfZWpurcAoEQGhNnHl4h-NpkS19qyneEmrK1agBRow4fJhyEun7z-B6R6zl4Ec8brlnM8P7hCxXNJGXAw70IN7xEzAwn4fF99fSzODZeqkqUVeySrxxhf-vNM.Zj5thb4MxeJcE8JgYLDkxsUNlVpN_CR6CpuEOgdQPPs&dib_tag=se&keywords=Motherboards&qid=1760141076&s=computers&sr=1-17&ts_id=430341031,"133,32 €",Msi,B650,AM5,ATX,DDR5,,Yes,WiFi ,4.0,4,
"GIGABYTE B650 AORUS Elite AX V2 Carte mère - AMD Ryzen série 9000, VRM 12+2+2 Phases, jusqu'à 8000 MHz DDR5 (OC), 1xPCIe 5.0 + 2xPCIe 4.0 M.2, LAN 2,5 GbE, WiFi 6E, USB 3.2 Gen 2",https://www.amazon.fr/GIGABYTE-B650-Elite-AX-V2/dp/B0CP17GMG3/ref=sr_1_18?c=ts&dib=eyJ2IjoiMSJ9.hQX_9PfZTHoXFrwumjL_vvTSWNx1FQTS99H-OlV5Yy7_1_whuPCj-bKqaUl6XHnH1MnOWQHMCk02OAhoGl7M8r2nQj7icB0SvCGoNUZBfirD12G2YVicQURbvgo83TuX76bE0mXXzwAjV3XRz6kWyYRG-9lMYaEZiu9W35sUA-TgWBBaS_EfZWpurcAoEQGhNnHl4h-NpkS19qyneEmrK1agBRow4fJhyEun7z-B6R6zl4Ec8brlnM8P7hCxXNJGXAw70IN7xEzAwn4fF99fSzODZeqkqUVeySrxxhf-vNM.Zj5thb4MxeJcE8JgYLDkxsUNlVpN_CR6CpuEOgdQPPs&dib_tag=se&keywords=Motherboards&qid=1760141076&s=computers&sr=1-18&ts_id=430341031,"137,49 €",Gigabyte,B650,,,DDR5,,Yes,WiFi 6e,"5.0, 4.0",,12
"GIGABYTE B650E AORUS Elite X AX Ice Carte mère - AMD Ryzen série 9000, VRM 12+2+2 Phases, jusqu'à 8000 MHz DDR5 (OC), 1xPCIe 5.0 + 2xPCIe 4.0 M.2, LAN 2,5 GbE, WiFi 6E, USB 3.2 Gen 2",https://www.amazon.fr/GIGABYTE-B650E-Elite-X-Ice/dp/B0CT5TC3VW/ref=sr_1_19?c=ts&dib=eyJ2IjoiMSJ9.hQX_9PfZTHoXFrwumjL_vvTSWNx1FQTS99H-OlV5Yy7_1_whuPCj-bKqaUl6XHnH1MnOWQHMCk02OAhoGl7M8r2nQj7icB0SvCGoNUZBfirD12G2YVicQURbvgo83TuX76bE0mXXzwAjV3XRz6kWyYRG-9lMYaEZiu9W35sUA-TgWBBaS_EfZWpurcAoEQGhNnHl4h-NpkS19qyneEmrK1agBRow4fJhyEun7z-B6R6zl4Ec8brlnM8P7hCxXNJGXAw70IN7xEzAwn4fF99fSzODZeqkqUVeySrxxhf-vNM.Zj5thb4MxeJcE8JgYLDkxsUNlVpN_CR6CpuEOgdQPPs&dib_tag=se&keywords=Motherboards&qid=1760141076&s=computers&sr=1-19&ts_id=430341031,"156,66 €",Gigabyte,B650E,,,DDR5,,Yes,WiFi 6e,"5.0, 4.0",,12
"ASUS TUF GAMING B850-PLUS WIFI AMD ATX motherboard, 14+2+1 80A DrMOS power stages, DDR5, PCIe 5.0 Ready, 3xM.2 slots, Wi-Fi 7, Realtek 2.5Gb Ethernet, DisplayPort, HDMI™, USB 20Gbps Type-C®, Aura Sync",https://www.amazon.fr/ASUS-B850-PLUS-motherboard-Ethernet-DisplayPort/dp/B0DP5DQPRC/ref=sr_1_20?c=ts&dib=eyJ2IjoiMSJ9.hQX_9PfZTHoXFrwumjL_vvTSWNx1FQTS99H-OlV5Yy7_1_whuPCj-bKqaUl6XHnH1MnOWQHMCk02OAhoGl7M8r2nQj7icB0SvCGoNUZBfirD12G2YVicQURbvgo83TuX76bE0mXXzwAjV3XRz6kWyYRG-9lMYaEZiu9W35sUA-TgWBBaS_EfZWpurcAoEQGhNnHl4h-NpkS19qyneEmrK1agBRow4fJhyEun7z-B6R6zl4Ec8brlnM8P7hCxXNJGXAw70IN7xEzAwn4fF99fSzODZeqkqUVeySrxxhf-vNM.Zj5thb4MxeJcE8JgYLDkxsUNlVpN_CR6CpuEOgdQPPs&dib_tag=se&keywords=Motherboards&qid=1760141076&s=computers&sr=1-20&ts_id=430341031,"199,74 €",Asus,B850,,ATX,DDR5,,Yes,WiFi ,5.0,,
