Name,URL,Price,Cores,Threads,Frequency (GHz),Cache (MB),Socket
"Intel® Core™ i3-14100F, processeur pour PC de Bureau, 4 cœurs (4 P-Cores + 0 E-Core) jusqu'à 4,7 GHz",https://www.amazon.fr/Intel%C2%AE-CoreTM-i3-14100F-processeur-P-cores/dp/B0CQ2ZVCWV/ref=sr_1_11?c=ts&dib=eyJ2IjoiMSJ9.WC7BW1lzxnYZkA-_yMFVP4IZs67-nl9pi303EHAmVdAwJ_wJSDdG9hbQgq2KlblTTkEYdWKmGJGpGgnXDU2HX-bUh9Tz1yTFHeMf8w-tw5dU2Rp8gUSIOiCIjoXSuE3jh8vWc7S0ZRvPJiXwD99HuFSsAvJpdsMjKJklwHBSVMgEcriFVy6UjGRx5nGTuA9QYKo1SNd5n5LrYdoduemyw7f9zQxKko3JJG8BZ1MX6IMdMpTxtJP5TwnvXjArMjbmWKYoOnIGVoItK8e3k1yf0L1OWjAFLAJNUidDdKRLWW4.5YscFV-lNirVl_jhrnxd6hZw20DQdCEg7tdxLkM3Tgc&dib_tag=se&keywords=CPUs&qid=1760137833&s=computers&sr=1-11&ts_id=430352031,"77,87 €",,,4.7,,
"AMD RYZEN ™ 7 9800X3D 8 Coeurs/16 Threads débridés, Architecture Zen 5, 104 Mo Cache, 120W TDP, Jusqu'a 5.2 Ghz Frequence Boost, Socket AM5, Ventilateur Non Inclus",https://www.amazon.fr/AMD-TM-9800X3D-Architecture-Ventilateur/dp/B0DKFMSMYK/ref=sr_1_12?c=ts&dib=eyJ2IjoiMSJ9.WC7BW1lzxnYZkA-_yMFVP4IZs67-nl9pi303EHAmVdAwJ_wJSDdG9hbQgq2KlblTTkEYdWKmGJGpGgnXDU2HX-bUh9Tz1yTFHeMf8w-tw5dU2Rp8gUSIOiCIjoXSuE3jh8vWc7S0ZRvPJiXwD99HuFSsAvJpdsMjKJklwHBSVMgEcriFVy6UjGRx5nGTuA9QYKo1SNd5n5LrYdoduemyw7f9zQxKko3JJG8BZ1MX6IMdMpTxtJP5TwnvXjArMjbmWKYoOnIGVoItK8e3k1yf0L1OWjAFLAJNUidDdKRLWW4.5YscFV-lNirVl_jhrnxd6hZw20DQdCEg7tdxLkM3Tgc&dib_tag=se&keywords=CPUs&qid=1760137833&s=computers&sr=1-12&ts_id=430352031,N/A,8,16,5.2,104,AM5
"AMD Ryzen 7 5800X Processeur (8 Cœurs/16 Threads, 105W TDP, Socket AM4, 36 Mo Cache, jusqu'à 4,7 Ghz Fréquence Boost, sans Ventilateur)",https://www.amazon.fr/AMD-Ryzen-7-5800X-RyzenTM/dp/B0815XFSGK/ref=sr_1_13?c=ts&dib=eyJ2IjoiMSJ9.WC7BW1lzxnYZkA-_yMFVP4IZs67-nl9pi303EHAmVdAwJ_wJSDdG9hbQgq2KlblTTkEYdWKmGJGpGgnXDU2HX-bUh9Tz1yTFHeMf8w-tw5dU2Rp8gUSIOiCIjoXSuE3jh8vWc7S0ZRvPJiXwD99HuFSsAvJpdsMjKJklwHBSVMgEcriFVy6UjGRx5nGTuA9QYKo1SNd5n5LrYdoduemyw7f9zQxKko3JJG8BZ1MX6IMdMpTxtJP5TwnvXjArMjbmWKYoOnIGVoItK8e3k1yf0L1OWjAFLAJNUidDdKRLWW4.5YscFV-lNirVl_jhrnxd6hZw20DQdCEg7tdxLkM3Tgc&dib_tag=se&keywords=CPUs&qid=1760137833&s=computers&sr=1-13&ts_id=430352031,"157,00 €",,16,4.7,36,AM4
"AMD Ryzen 9 9900X Processeur (Radeon Graphique Intégré, 12 Coeurs/24 Threads, 120W TDP, Socket AM5, Cache 76Mo, jusqu'à 5.6 GHz Fréquence Boost, Pas de Ventilateur)",https://www.amazon.fr/AMD-RyzenTM-9900X-Processeur-Architecture/dp/B0D6NN87T8/ref=sr_1_14?c=ts&dib=eyJ2IjoiMSJ9.WC7BW1lzxnYZkA-_yMFVP4IZs67-nl9pi303EHAmVdAwJ_wJSDdG9hbQgq2KlblTTkEYdWKmGJGpGgnXDU2HX-bUh9Tz1yTFHeMf8w-tw5dU2Rp8gUSIOiCIjoXSuE3jh8vWc7S0ZRvPJiXwD99HuFSsAvJpdsMjKJklwHBSVMgEcriFVy6UjGRx5nGTuA9QYKo1SNd5n5LrYdoduemyw7f9zQxKko3JJG8BZ1MX6IMdMpTxtJP5TwnvXjArMjbmWKYoOnIGVoItK8e3k1yf0L1OWjAFLAJNUidDdKRLWW4.5YscFV-lNirVl_jhrnxd6hZw20DQdCEg7tdxLkM3Tgc&dib_tag=se&keywords=CPUs&qid=1760137833&s=computers&sr=1-14&ts_id=430352031,"290,82 €",12,24,5.6,76,AM5
Intel® Core™ i5-14600K Desktop Processor 14 Cores (6 P-Cores + 8 E-Cores) up to 5.3 GHz,https://www.amazon.fr/Intel%C2%AE-i5-14600K-Desktop-Processor-P-Cores/dp/B0CHBGVFHP/ref=sr_1_15?c=ts&dib=eyJ2IjoiMSJ9.WC7BW1lzxnYZkA-_yMFVP4IZs67-nl9pi303EHAmVdAwJ_wJSDdG9hbQgq2KlblTTkEYdWKmGJGpGgnXDU2HX-bUh9Tz1yTFHeMf8w-tw5dU2Rp8gUSIOiCIjoXSuE3jh8vWc7S0ZRvPJiXwD99HuFSsAvJpdsMjKJklwHBSVMgEcriFVy6UjGRx5nGTuA9QYKo1SNd5n5LrYdoduemyw7f9zQxKko3JJG8BZ1MX6IMdMpTxtJP5TwnvXjArMjbmWKYoOnIGVoItK8e3k1yf0L1OWjAFLAJNUidDdKRLWW4.5YscFV-lNirVl_jhrnxd6hZw20DQdCEg7tdxLkM3Tgc&dib_tag=se&keywords=CPUs&qid=1760137833&s=computers&sr=1-15&ts_id=430352031,"209,00 €",14,,5.3,,
"Intel® Core™ i5-14400F, processeur pour PC de Bureau, 10 cœurs (6 P-Cores + 4 E-Cores) jusqu'à 4,7 GHz",https://www.amazon.fr/Intel%C2%AE-CoreTM-i5-14400F-processeur-P-cores/dp/B0CQ3142LB/ref=sr_1_16?c=ts&dib=eyJ2IjoiMSJ9.WC7BW1lzxnYZkA-_yMFVP4IZs67-nl9pi303EHAmVdAwJ_wJSDdG9hbQgq2KlblTTkEYdWKmGJGpGgnXDU2HX-bUh9Tz1yTFHeMf8w-tw5dU2Rp8gUSIOiCIjoXSuE3jh8vWc7S0ZRvPJiXwD99HuFSsAvJpdsMjKJklwHBSVMgEcriFVy6UjGRx5nGTuA9QYKo1SNd5n5LrYdoduemyw7f9zQxKko3JJG8BZ1MX6IMdMpTxtJP5TwnvXjArMjbmWKYoOnIGVoItK8e3k1yf0L1OWjAFLAJNUidDdKRLWW4.5YscFV-lNirVl_jhrnxd6hZw20DQdCEg7tdxLkM3Tgc&dib_tag=se&keywords=CPUs&qid=1760137833&s=computers&sr=1-16&ts_id=430352031,N/A,,,4.7,,
"AMD Ryzen 5 5600 Processeur (6 Coeurs/12 Threads, 65W TDP, Socket AM4, jusqu'à 4.4 Ghz Fréquence Boost, Ventilateur wraith Stealth)",https://www.amazon.fr/AMD-Ryzen-5600-Ventilateur-Stealth/dp/B09VCHR1VH/ref=sr_1_17?c=ts&dib=eyJ2IjoiMSJ9.WC7BW1lzxnYZkA-_yMFVP4IZs67-nl9pi303EHAmVdAwJ_wJSDdG9hbQgq2KlblTTkEYdWKmGJGpGgnXDU2HX-bUh9Tz1yTFHeMf8w-tw5dU2Rp8gUSIOiCIjoXSuE3jh8vWc7S0ZRvPJiXwD99HuFSsAvJpdsMjKJklwHBSVMgEcriFVy6UjGRx5nGTuA9QYKo1SNd5n5LrYdoduemyw7f9zQxKko3JJG8BZ1MX6IMdMpTxtJP5TwnvXjArMjbmWKYoOnIGVoItK8e3k1yf0L1OWjAFLAJNUidDdKRLWW4.5YscFV-lNirVl_jhrnxd6hZw20DQdCEg7tdxLkM3Tgc&dib_tag=se&keywords=CPUs&qid=1760137833&s=computers&sr=1-17&ts_id=430352031,N/A,6,12,4.4,,AM4
Intel® Core™ i9-14900KF Desktop Processor 24 Cores (8 P-Cores + 16 E-Cores) up to 6.0 GHz,https://www.amazon.fr/Intel%C2%AE-i9-14900KF-Desktop-Processor-P-Cores/dp/B0CHBJXG7G/ref=sr_1_18?c=ts&dib=eyJ2IjoiMSJ9.WC7BW1lzxnYZkA-_yMFVP4IZs67-nl9pi303EHAmVdAwJ_wJSDdG9hbQgq2KlblTTkEYdWKmGJGpGgnXDU2HX-bUh9Tz1yTFHeMf8w-tw5dU2Rp8gUSIOiCIjoXSuE3jh8vWc7S0ZRvPJiXwD99HuFSsAvJpdsMjKJklwHBSVMgEcriFVy6UjGRx5nGTuA9QYKo1SNd5n5LrYdoduemyw7f9zQxKko3JJG8BZ1MX6IMdMpTxtJP5TwnvXjArMjbmWKYoOnIGVoItK8e3k1yf0L1OWjAFLAJNUidDdKRLWW4.5YscFV-lNirVl_jhrnxd6hZw20DQdCEg7tdxLkM3Tgc&dib_tag=se&keywords=CPUs&qid=1760137833&s=computers&sr=1-18&ts_id=430352031,"353,53 €",24,,6.0,,
"AMD Ryzen 7 7700X Processeur (Radeon Graphique Intégré, 8 Coeurs/16 Threads, 105W DTP, Socket AM5, Cache 40MB, jusqu'à 5.4 GHz Fréquence Boost, Pas de Ventilateur)",https://www.amazon.fr/AMD-7700X-Processeur-Architecture-Fr%C3%A9quence/dp/B0BBHHT8LY/ref=sr_1_19?c=ts&dib=eyJ2IjoiMSJ9.WC7BW1lzxnYZkA-_yMFVP4IZs67-nl9pi303EHAmVdAwJ_wJSDdG9hbQgq2KlblTTkEYdWKmGJGpGgnXDU2HX-bUh9Tz1yTFHeMf8w-tw5dU2Rp8gUSIOiCIjoXSuE3jh8vWc7S0ZRvPJiXwD99HuFSsAvJpdsMjKJklwHBSVMgEcriFVy6UjGRx5nGTuA9QYKo1SNd5n5LrYdoduemyw7f9zQxKko3JJG8BZ1MX6IMdMpTxtJP5TwnvXjArMjbmWKYoOnIGVoItK8e3k1yf0L1OWjAFLAJNUidDdKRLWW4.5YscFV-lNirVl_jhrnxd6hZw20DQdCEg7tdxLkM3Tgc&dib_tag=se&keywords=CPUs&qid=1760137833&s=computers&sr=1-19&ts_id=430352031,"263,00 €",8,16,5.4,40,AM5
"AMD Ryzen 7 5700 Processeur (8 Coeurs/16 Threads, 65W TDP, Socket AM4, Cache 20Mo, jusqu'à 4.6 GHz Frequence Boost, Ventilateur Wraith Spire)",https://www.amazon.fr/AMD-5700-Processeur-Architecture-Fr%C3%A9quence/dp/B0CQ4HPJYV/ref=sr_1_20?c=ts&dib=eyJ2IjoiMSJ9.WC7BW1lzxnYZkA-_yMFVP4IZs67-nl9pi303EHAmVdAwJ_wJSDdG9hbQgq2KlblTTkEYdWKmGJGpGgnXDU2HX-bUh9Tz1yTFHeMf8w-tw5dU2Rp8gUSIOiCIjoXSuE3jh8vWc7S0ZRvPJiXwD99HuFSsAvJpdsMjKJklwHBSVMgEcriFVy6UjGRx5nGTuA9QYKo1SNd5n5LrYdoduemyw7f9zQxKko3JJG8BZ1MX6IMdMpTxtJP5TwnvXjArMjbmWKYoOnIGVoItK8e3k1yf0L1OWjAFLAJNUidDdKRLWW4.5YscFV-lNirVl_jhrnxd6hZw20DQdCEg7tdxLkM3Tgc&dib_tag=se&keywords=CPUs&qid=1760137833&s=computers&sr=1-20&ts_id=430352031,N/A,8,16,4.6,20,AM4
