Name,URL,Price,Taille RAM,Type de RAM,Carte graphique,Fréquence d’horloge de la mémoire
"MSI NVIDIA GeForce RTX 5080 16G Gaming Trio OC Carte Graphique - 16 Go GDDR7 (30 GB/s, 256-bit), PCIe 5.0, TRI FROZR 4 (3 x Ventilateurs STORMFORCE), RGB - HDMI 2.1b, DisplayPort 2.1b",https://www.amazon.fr/MSI-NVIDIA-GeForce-Gaming-Graphique/dp/B0BX6LGM2X/ref=sr_1_11?c=ts&dib=eyJ2IjoiMSJ9.1VK1Z6j0q2E8pBGBAC70p1F1-5zU9fxB3yUmZfa9Vp1jqs2FGrtjJKFKzg2XEDKQgQ8r-aF33sJ8DvHMWILcFXxcdVB2611o-H_a0_18kMnEth8wTns7NPQkXw1ks_bsgwnbxtIiNheTkF5I0l3dyn0tt2vcnVDV0iCk5aJP5jeEGJ-GPmoFn6yjgsJV_PlKiVNW7ts7Pl3x9ZZYtOAStcPHMXhLZiUc5WJZb-JMhJ3iRI8cOd6qD9kVijYkdcOMS2tlpJPBhuCy5LufZS1Z5Avw52yDripIlfQ1K66vRmY.D3v1J9TmUjHZ7_YNCOuC7LnsRL-eXCZzilML0n5_Urw&dib_tag=se&keywords=Graphics+Cards&qid=1760138436&s=computers&sr=1-11&ts_id=430340031,"1 119,04 €",16 Go,GDDR7,PCI Express,30 MHz
"ASUS Dual GeForce RTX™ 5070 OC 12GB GDDR7 Gaming Graphics Card - PCIe 5.0, 2572MHz Boost Clock, DLSS 4, HDMI 2.1b, DisplayPort 2.1b, Axial-Tech Fan Design, 0dB Technology,",https://www.amazon.fr/ASUS-GeForce-RTXTM-Gaming-Graphics/dp/B0F8KJKC9Y/ref=sr_1_12?c=ts&dib=eyJ2IjoiMSJ9.1VK1Z6j0q2E8pBGBAC70p1F1-5zU9fxB3yUmZfa9Vp1jqs2FGrtjJKFKzg2XEDKQgQ8r-aF33sJ8DvHMWILcFXxcdVB2611o-H_a0_18kMnEth8wTns7NPQkXw1ks_bsgwnbxtIiNheTkF5I0l3dyn0tt2vcnVDV0iCk5aJP5jeEGJ-GPmoFn6yjgsJV_PlKiVNW7ts7Pl3x9ZZYtOAStcPHMXhLZiUc5WJZb-JMhJ3iRI8cOd6qD9kVijYkdcOMS2tlpJPBhuCy5LufZS1Z5Avw52yDripIlfQ1K66vRmY.D3v1J9TmUjHZ7_YNCOuC7LnsRL-eXCZzilML0n5_Urw&dib_tag=se&keywords=Graphics+Cards&qid=1760138436&s=computers&sr=1-12&ts_id=430340031,"479,15 €",16,Mémoire GDDR6X,PCI-Express x16,2542 MHz
MSI NVIDIA GeForce RTX 3050 Ventus 2X E 6G OC,https://www.amazon.fr/MSI-GeForce-RTX-3050-Ventus/dp/B0BSN1QFXX/ref=sr_1_13?c=ts&dib=eyJ2IjoiMSJ9.1VK1Z6j0q2E8pBGBAC70p1F1-5zU9fxB3yUmZfa9Vp1jqs2FGrtjJKFKzg2XEDKQgQ8r-aF33sJ8DvHMWILcFXxcdVB2611o-H_a0_18kMnEth8wTns7NPQkXw1ks_bsgwnbxtIiNheTkF5I0l3dyn0tt2vcnVDV0iCk5aJP5jeEGJ-GPmoFn6yjgsJV_PlKiVNW7ts7Pl3x9ZZYtOAStcPHMXhLZiUc5WJZb-JMhJ3iRI8cOd6qD9kVijYkdcOMS2tlpJPBhuCy5LufZS1Z5Avw52yDripIlfQ1K66vRmY.D3v1J9TmUjHZ7_YNCOuC7LnsRL-eXCZzilML0n5_Urw&dib_tag=se&keywords=Graphics+Cards&qid=1760138436&s=computers&sr=1-13&ts_id=430340031,"158,32 €",6 Go,Mémoire GDDR6,PCI Express,1492 MHz
"MSI NVIDIA GeForce RTX 5060 8G Shadow 2X OC Carte Graphique - 8 Go GDDR7 (28 GB/s /128 Bits), PCIe 5.0 - Double Ventilateur (2X Ventilateurs TORX 5.0), HDMI 2.1b, DisplayPort 2.1b",https://www.amazon.fr/MSI-NVIDIA-GeForce-Graphique-Fr%C3%A9quence/dp/B09729YMPT/ref=sr_1_14?c=ts&dib=eyJ2IjoiMSJ9.1VK1Z6j0q2E8pBGBAC70p1F1-5zU9fxB3yUmZfa9Vp1jqs2FGrtjJKFKzg2XEDKQgQ8r-aF33sJ8DvHMWILcFXxcdVB2611o-H_a0_18kMnEth8wTns7NPQkXw1ks_bsgwnbxtIiNheTkF5I0l3dyn0tt2vcnVDV0iCk5aJP5jeEGJ-GPmoFn6yjgsJV_PlKiVNW7ts7Pl3x9ZZYtOAStcPHMXhLZiUc5WJZb-JMhJ3iRI8cOd6qD9kVijYkdcOMS2tlpJPBhuCy5LufZS1Z5Avw52yDripIlfQ1K66vRmY.D3v1J9TmUjHZ7_YNCOuC7LnsRL-eXCZzilML0n5_Urw&dib_tag=se&keywords=Graphics+Cards&qid=1760138436&s=computers&sr=1-14&ts_id=430340031,"274,17 €",8 Go,GDDR7,PCI Express,286 MHz
"MSI NVIDIA GeForce RTX 5070 12G Gaming Trio OC White Carte Graphique - 12 Go GDDR7 (28 GB/s, 192-bit), PCIe 5.0 - TRI FROZR 4 (3 x Ventilateurs STORMFORCE) - RGB - HDMI 2.1b, DisplayPort 2.1b",https://www.amazon.fr/MSI-NVIDIA-GeForce-Gaming-Graphique/dp/B0DX7GZK1K/ref=sr_1_15?c=ts&dib=eyJ2IjoiMSJ9.1VK1Z6j0q2E8pBGBAC70p1F1-5zU9fxB3yUmZfa9Vp1jqs2FGrtjJKFKzg2XEDKQgQ8r-aF33sJ8DvHMWILcFXxcdVB2611o-H_a0_18kMnEth8wTns7NPQkXw1ks_bsgwnbxtIiNheTkF5I0l3dyn0tt2vcnVDV0iCk5aJP5jeEGJ-GPmoFn6yjgsJV_PlKiVNW7ts7Pl3x9ZZYtOAStcPHMXhLZiUc5WJZb-JMhJ3iRI8cOd6qD9kVijYkdcOMS2tlpJPBhuCy5LufZS1Z5Avw52yDripIlfQ1K66vRmY.D3v1J9TmUjHZ7_YNCOuC7LnsRL-eXCZzilML0n5_Urw&dib_tag=se&keywords=Graphics+Cards&qid=1760138436&s=computers&sr=1-15&ts_id=430340031,"551,30 €",12 Go,GDDR7,PCI Express,2557 MHz
PNY Carte Graphique GeForce RTX™ 5090 32GB ARGB OC Triple Fan DLSS 4,https://www.amazon.fr/PNY-Carte-Graphique-GeForce-Triple/dp/B0DTJFSSZG/ref=sr_1_16?c=ts&dib=eyJ2IjoiMSJ9.1VK1Z6j0q2E8pBGBAC70p1F1-5zU9fxB3yUmZfa9Vp1jqs2FGrtjJKFKzg2XEDKQgQ8r-aF33sJ8DvHMWILcFXxcdVB2611o-H_a0_18kMnEth8wTns7NPQkXw1ks_bsgwnbxtIiNheTkF5I0l3dyn0tt2vcnVDV0iCk5aJP5jeEGJ-GPmoFn6yjgsJV_PlKiVNW7ts7Pl3x9ZZYtOAStcPHMXhLZiUc5WJZb-JMhJ3iRI8cOd6qD9kVijYkdcOMS2tlpJPBhuCy5LufZS1Z5Avw52yDripIlfQ1K66vRmY.D3v1J9TmUjHZ7_YNCOuC7LnsRL-eXCZzilML0n5_Urw&dib_tag=se&keywords=Graphics+Cards&qid=1760138436&s=computers&sr=1-16&ts_id=430340031,"2 224,99 €",32 Go,Mémoire GDDR6X,"PCI-Express x16, PCI-Express x16",2017 MHz
"Asus Prime Radeon RX 9070 XT OC Edition – Carte Graphique (16GB GDDR6, PCIe 5.0, HDMI, DisplayPort 2.1, 2.5-Slot, Ventilateurs axiaux à Double roulement à Billes, Double BIOS)",https://www.amazon.fr/Asus-Prime-Radeon-9070-Ventilateurs/dp/B0DSG52H7D/ref=sr_1_17?c=ts&dib=eyJ2IjoiMSJ9.1VK1Z6j0q2E8pBGBAC70p1F1-5zU9fxB3yUmZfa9Vp1jqs2FGrtjJKFKzg2XEDKQgQ8r-aF33sJ8DvHMWILcFXxcdVB2611o-H_a0_18kMnEth8wTns7NPQkXw1ks_bsgwnbxtIiNheTkF5I0l3dyn0tt2vcnVDV0iCk5aJP5jeEGJ-GPmoFn6yjgsJV_PlKiVNW7ts7Pl3x9ZZYtOAStcPHMXhLZiUc5WJZb-JMhJ3iRI8cOd6qD9kVijYkdcOMS2tlpJPBhuCy5LufZS1Z5Avw52yDripIlfQ1K66vRmY.D3v1J9TmUjHZ7_YNCOuC7LnsRL-eXCZzilML0n5_Urw&dib_tag=se&keywords=Graphics+Cards&qid=1760138436&s=computers&sr=1-17&ts_id=430340031,"581,66 €",16,Mémoire GDDR6,PCI Express,2460 MHz
"MSI NVIDIA GeForce RTX 5080 16G SUPRIM SOC Carte Graphique - 16 Go GDDR7 (30 GB/s, 256-bit), PCIe 5.0, Hyper FROZR (3X Ventilateurs STORMFORCE) - Mode Gaming/Silence, RGB - HDMI 2.1b, DisplayPort 2.1",https://www.amazon.fr/MSI-NVIDIA-GeForce-SUPRIM-Graphique/dp/B0DMSKSMKC/ref=sr_1_18?c=ts&dib=eyJ2IjoiMSJ9.1VK1Z6j0q2E8pBGBAC70p1F1-5zU9fxB3yUmZfa9Vp1jqs2FGrtjJKFKzg2XEDKQgQ8r-aF33sJ8DvHMWILcFXxcdVB2611o-H_a0_18kMnEth8wTns7NPQkXw1ks_bsgwnbxtIiNheTkF5I0l3dyn0tt2vcnVDV0iCk5aJP5jeEGJ-GPmoFn6yjgsJV_PlKiVNW7ts7Pl3x9ZZYtOAStcPHMXhLZiUc5WJZb-JMhJ3iRI8cOd6qD9kVijYkdcOMS2tlpJPBhuCy5LufZS1Z5Avw52yDripIlfQ1K66vRmY.D3v1J9TmUjHZ7_YNCOuC7LnsRL-eXCZzilML0n5_Urw&dib_tag=se&keywords=Graphics+Cards&qid=1760138436&s=computers&sr=1-18&ts_id=430340031,"1 166,66 €",16 Go,GDDR7,PCI Express,30 MHz
"MSI NVIDIA GeForce RTX 5060 Ti 16G Ventus 2X OC Plus Carte Graphique - 16 Go GDDR7 (28 GB/s /128 Bits), PCIe 5.0 - Double Ventilateur (2 x Ventilateurs STORMFORCE), HDMI 2.1b, DisplayPort 2.1b",https://www.amazon.fr/MSI-NVIDIA-GeForce-Ventus-Graphique/dp/B0F32NJG9T/ref=sr_1_19?c=ts&dib=eyJ2IjoiMSJ9.1VK1Z6j0q2E8pBGBAC70p1F1-5zU9fxB3yUmZfa9Vp1jqs2FGrtjJKFKzg2XEDKQgQ8r-aF33sJ8DvHMWILcFXxcdVB2611o-H_a0_18kMnEth8wTns7NPQkXw1ks_bsgwnbxtIiNheTkF5I0l3dyn0tt2vcnVDV0iCk5aJP5jeEGJ-GPmoFn6yjgsJV_PlKiVNW7ts7Pl3x9ZZYtOAStcPHMXhLZiUc5WJZb-JMhJ3iRI8cOd6qD9kVijYkdcOMS2tlpJPBhuCy5LufZS1Z5Avw52yDripIlfQ1K66vRmY.D3v1J9TmUjHZ7_YNCOuC7LnsRL-eXCZzilML0n5_Urw&dib_tag=se&keywords=Graphics+Cards&qid=1760138436&s=computers&sr=1-19&ts_id=430340031,"374,17 €",16 Go,GDDR7,PCI Express,2407 MHz
"MSI GeForce RTX 5060 8G Ventus 2X OC Carte Graphique - 8 Go GDDR7 (28 GB/s /128 Bits), PCIe 5.0 - Double Ventilateur (2X Ventilateurs TORX 5.0), HDMI 2.1b, DisplayPort 2.1b",https://www.amazon.fr/MSI-NVIDIA-GeForce-Graphique-Fr%C3%A9quence/dp/B0972BP9YR/ref=sr_1_20?c=ts&dib=eyJ2IjoiMSJ9.1VK1Z6j0q2E8pBGBAC70p1F1-5zU9fxB3yUmZfa9Vp1jqs2FGrtjJKFKzg2XEDKQgQ8r-aF33sJ8DvHMWILcFXxcdVB2611o-H_a0_18kMnEth8wTns7NPQkXw1ks_bsgwnbxtIiNheTkF5I0l3dyn0tt2vcnVDV0iCk5aJP5jeEGJ-GPmoFn6yjgsJV_PlKiVNW7ts7Pl3x9ZZYtOAStcPHMXhLZiUc5WJZb-JMhJ3iRI8cOd6qD9kVijYkdcOMS2tlpJPBhuCy5LufZS1Z5Avw52yDripIlfQ1K66vRmY.D3v1J9TmUjHZ7_YNCOuC7LnsRL-eXCZzilML0n5_Urw&dib_tag=se&keywords=Graphics+Cards&qid=1760138436&s=computers&sr=1-20&ts_id=430340031,"253,67 €",8 Go,GDDR7,PCI Express,28 MHz
