Name,URL,Price,Cores,Threads,Frequency (GHz),Cache (MB),Socket
Intel Core i7-12700KF - Core i7 12th Gen Alder Lake 12-Core (8P+4E) 3.6 GHz LGA 1700 125W Desktop Processor - BX8071512700KF,https://www.newegg.com/intel-core-i7-12th-gen-core-i7-12700kf-alder-lake-lga-1700-desktop-cpu-processor/p/N82E16819118345,$199.99,12,,3.6,,LGA1700
"AMD Ryzen 7 5700X - Ryzen 7 5000 Series Vermeer (Zen 3) 8-Core 3.4 GHz Socket AM4 65W Desktop Processor (Tray, OEM) - 100-000000926",https://www.newegg.com/amd-ryzen-7-5000-series-ryzen-7-5700x-vermeer-socket-am4-desktop-cpu-processor/p/N82E16819113746,$143.99,8,,3.4,000000926,AM4
Intel Core i9-14900KF - Core i9 14th Gen 24-Core (8P+16E) LGA 1700 125W None Integrated Graphics Processor - Boxed - BX8071514900KF,https://www.newegg.com/intel-core-i9-14th-gen-core-i9-14900kf-raptor-lake-lga-1700-desktop-cpu-processor/p/N82E16819118464,$419.91,24,,,,LGA1700
Intel Core i7-14700KF - Core i7 14th Gen 20-Core (8P+12E) LGA 1700 125W None Integrated Graphics Desktop Processor - Boxed - BX8071514700KF,https://www.newegg.com/intel-core-i7-14th-gen-core-i7-14700kf-raptor-lake-lga-1700-desktop-cpu-processor/p/N82E16819118468,$314.99,20,,,,LGA1700
AMD Ryzen 9 9900X3D - Ryzen 9 9000 Series Granite Ridge (Zen 5) 12-Core 4.4 GHz Socket AM5 120W AMD Radeon Graphics Processor - 100-100001368WOF,https://www.newegg.com/amd-ryzen-9-9000-series-ryzen-9-9900x3d-granite-ridge-socket-am5-desktop-cpu-processor/p/N82E16819113886,$599.00,12,,4.4,,AM5
AMD Ryzen 5 7500F - Ryzen 5 7000 Series Zen 4 6-Core 3.7 GHz - Socket AM5 65W - AMD Radeon Graphics Processor - 100-000000597 - OEM Processor,https://www.newegg.com/p/274-000M-00200,$145.99,6,,3.7,,AM5
AMD Ryzen 7 5700X3D - Ryzen 7 5000 Series 8-Core 3.0 GHz Socket AM4 105W None Integrated Graphics Processor - Tray,https://www.newegg.com/p/274-000M-00220,$261.58,8,,3.0,,AM4
Intel Core i5-14400F - Core i5 14th Gen Raptor Lake 10-Core (6P+4E) LGA 1700 65W None Integrated Graphics Processor - BX8071514400F,https://www.newegg.com/intel-core-i5-14th-gen-core-i5-14400f-raptor-lake-lga-1700-desktop-cpu-processor/p/N82E16819118489,$149.99,10,,,,LGA1700
Intel Core i5-12400F - Core i5 12th Gen Alder Lake 6-Core 2.5 GHz LGA 1700 65W Desktop Processor - BX8071512400F,https://www.newegg.com/intel-core-i5-12th-gen-core-i5-12400f-alder-lake-lga-1700-desktop-cpu-processor/p/N82E16819118360,$116.00,6,,2.5,,LGA1700
AMD Ryzen 7 5700 - Ryzen 7 5000 Series 8-Core 3.7 GHz Socket AM4 65W None Integrated Graphics Desktop CPU Processor - 100-100000743BOX,https://www.newegg.com/amd-ryzen-7-5700-ryzen-7-5000-series-cezanne-zen-3-socket-am4/p/N82E16819113813,$134.96,8,,3.7,,AM4
Intel Core i5-14600KF - Core i5 14th Gen 14-Core (6P+8E) LGA 1700 125W None Integrated Graphics Desktop Processor - Boxed - BX8071514600KF,https://www.newegg.com/intel-core-i5-14th-gen-core-i5-14600kf-raptor-lake-lga-1700-desktop-cpu-processor/p/N82E16819118472,$199.99,14,,,,LGA1700
AMD Ryzen 7 5700G - Ryzen 7 5000 G-Series Cezanne (Zen 3) 8-Core 3.8 GHz Socket AM4 65W AMD Radeon Graphics Desktop CPU Processor - 100-100000263BOX,https://www.newegg.com/amd-ryzen-7-5000-g-series-ryzen-7-5700g-cezanne-socket-am4-desktop-cpu-processor/p/N82E16819113682,$156.99,8,,3.8,,AM4
Intel Core i9-12900K - Core i9 12th Gen Alder Lake 16-Core (8P+8E) 3.2 GHz LGA 1700 125W Intel UHD Graphics 770 Desktop Processor - BX8071512900K,https://www.newegg.com/intel-core-i9-12th-gen-core-i9-12900k-alder-lake-lga-1700-desktop-cpu-processor/p/N82E16819118339,$299.99,16,,3.2,,LGA1700
AMD Ryzen 7 5700X - Ryzen 7 5000 Series 8-Core 3.4 GHz Socket AM4 65W None Integrated Graphics Desktop Processor - 100-100000926WOZ - International Version With Warranty Of Three Years,https://www.newegg.com/p/274-000M-001Z8,$152.99,8,,3.4,,AM4
Intel Core i5-12600K - Core i5 12th Gen Alder Lake 10-Core (6P+4E) 3.7 GHz LGA 1700 125W Intel UHD Graphics 770 Desktop Processor - BX8071512600K,https://www.newegg.com/intel-core-i5-12th-gen-core-i5-12600k-alder-lake-lga-1700-desktop-cpu-processor/p/N82E16819118347,$189.99,10,,3.7,,LGA1700
AMD Ryzen 5 4500 - Ryzen 5 4000 Series Renoir (Zen 2) 6-Core 3.6 GHz Socket AM4 65W None Integrated Graphics Desktop CPU Processor - 100-100000644BOX,https://www.newegg.com/amd-ryzen-5-4000-series-ryzen-5-4500-renoir-socket-am4-desktop-cpu-processor/p/N82E16819113738,$68.00,6,,3.6,,AM4
